No.,x_m,y_m,z_m,official_velocity_ratio,predicted_velocity_ratio,speed_lbm,solid_corner_neighbors_max,nearest_valid_velocity_ratio,fluid_weighted_velocity_ratio,vertical_valid_above_velocity_ratio,z_plus_half_velocity_ratio,fluid_weighted_solid_neighbors_max,nearest_valid_search_radius_max,vertical_valid_above_dz_max,samples
1,-27.000000,112.000000,2.000000,0.18000000,0.26921504,0.01084673,2,0.34362652,0.26921504,0.34362652,0.22737071,2,0,0,37
2,-93.000000,33.000000,2.000000,0.58999996,0.30029655,0.01209901,0,0.30029655,0.30029655,0.30029655,0.28015828,0,0,0,37
3,-88.000000,35.000000,2.000000,0.38000000,0.27204370,0.01096070,0,0.28455121,0.27204370,0.28455121,0.25906118,0,0,0,37
4,-74.000000,40.000000,2.000000,0.32000000,0.15702465,0.00632656,2,0.09508905,0.15702465,0.09508905,0.10100976,2,0,0,37
5,-61.000000,45.500000,2.000000,0.30000002,0.40909716,0.01648261,0,0.44882159,0.40909716,0.44882159,0.45386731,0,0,0,37
6,-50.500000,49.500000,2.000000,0.34000000,0.15348375,0.00618389,2,0.20267193,0.20464501,0.20267193,0.19828921,2,0,0,37
7,-33.500000,57.500000,2.000000,0.26000000,0.21312426,0.00858682,2,0.28118252,0.28416568,0.28118252,0.27880158,2,0,0,37
8,-9.500000,69.000000,2.000000,0.14000000,0.17615996,0.00709752,2,0.17419433,0.17615996,0.17419433,0.13460544,2,0,0,37
9,7.000000,76.500000,2.000000,0.12000000,0.27589460,0.01111585,0,0.27248299,0.27589460,0.27248299,0.24701522,0,0,0,37
10,45.000000,94.000000,2.000000,0.10000001,0.31224538,0.01258043,0,0.31414248,0.31224538,0.31414248,0.37483383,0,0,0,37
11,80.500000,110.000000,2.000000,0.55000000,0.57359432,0.02311024,0,0.61263318,0.57359432,0.61263318,0.58438481,0,0,0,37
12,-133.000000,21.000000,2.000000,0.30000002,0.30716922,0.01237591,0,0.30716922,0.30716922,0.30716922,0.27505145,0,0,0,37
13,-97.000000,19.000000,2.000000,0.58999996,0.26050864,0.01049595,0,0.26050864,0.26050864,0.26050864,0.23757170,0,0,0,37
14,-84.000000,22.500000,2.000000,0.46000000,0.38694033,0.01558991,0,0.35708061,0.38694033,0.35708061,0.37865332,0,0,0,37
15,-65.500000,29.500000,2.000000,0.40000000,0.32118119,0.01294046,0,0.32414240,0.32118119,0.32414240,0.35459530,0,0,0,37
16,-47.500000,36.500000,2.000000,0.38000000,0.13316463,0.00536523,0,0.11784416,0.13316463,0.11784416,0.20287400,0,0,0,37
17,-25.000000,47.000000,2.000000,0.20000000,0.41166655,0.01658613,0,0.41166655,0.41166655,0.41166655,0.44314726,0,0,0,37
18,-5.000000,56.000000,2.000000,0.28000000,0.34955250,0.01408355,0,0.36360362,0.34955250,0.36360362,0.33751776,0,0,0,37
19,13.500000,64.500000,2.000000,0.32000000,0.18602935,0.00749516,4,0.27186834,0.24803913,0.27186834,0.15529745,4,0,0,37
20,50.000000,81.500000,2.000000,0.20000000,0.31678030,0.01276315,0,0.24230217,0.31678030,0.24230217,0.25968213,0,0,0,37
21,87.000000,97.500000,2.000000,0.40000000,0.31360597,0.01263525,0,0.29973519,0.31360597,0.29973519,0.33203666,0,0,0,37
22,-114.500000,-8.000000,2.000000,0.58999996,0.16332180,0.00658027,2,0.29925532,0.32664359,0.29925532,0.20843146,2,0,0,37
23,-90.500000,8.000000,2.000000,0.54000004,0.12631315,0.00508918,2,0.28429877,0.25262630,0.28429877,0.19284775,2,0,0,37
24,-56.000000,33.000000,2.000000,0.46000000,0.28178330,0.01135311,0,0.28271001,0.28178330,0.28271001,0.34037510,0,0,0,37
25,-51.000000,22.000000,2.000000,0.52000000,0.36705722,0.01478881,0,0.33689895,0.36705722,0.33689895,0.36825665,0,0,0,37
26,-46.500000,11.000000,2.000000,0.55000000,0.45751094,0.01843321,0,0.46428455,0.45751094,0.46428455,0.50632839,0,0,0,37
27,-39.000000,16.000000,2.000000,0.48000000,0.00000000,0.00000000,4,0.11185033,0.00000000,0.31648006,0.15755398,4,1,1,37
28,-39.500000,-4.000000,2.000000,0.71000000,0.18157255,0.00731560,2,0.36146875,0.36314511,0.43555891,0.27255444,2,1,1,37
29,-32.000000,0.000000,2.000000,0.61000000,0.01372292,0.00055290,2,0.05129731,0.02744584,0.23356199,0.13009998,2,1,1,37
30,-39.000000,-11.000000,2.000000,0.69000000,0.00000000,0.00000000,4,0.12897118,0.00000000,0.39982917,0.19991458,4,1,1,37
31,6.500000,52.000000,2.000000,0.44000000,0.33209665,0.01338025,0,0.47977768,0.33209665,0.47977768,0.31850131,0,0,0,37
32,65.500000,74.500000,2.000000,0.54000004,0.00000000,0.00000000,4,0.05187083,0.00000000,0.29173484,0.15415074,4,1,1,37
33,73.500000,56.500000,2.000000,0.52000000,0.40734343,0.01641195,0,0.41116568,0.40734343,0.41116568,0.52649789,0,0,0,37
34,-117.500000,-32.000000,2.000000,0.32000000,0.34125474,0.01374923,0,0.33018801,0.34125474,0.33018801,0.37410126,0,0,0,37
35,-86.500000,-35.500000,2.000000,0.50000000,0.35676996,0.01437434,0,0.33908586,0.35676996,0.33908586,0.38836368,0,0,0,37
36,-75.000000,-31.500000,2.000000,0.32000000,0.36102643,0.01454583,0,0.38990872,0.36102643,0.38990872,0.35113084,0,0,0,37
37,-55.500000,-23.000000,2.000000,0.48000000,0.29167469,0.01175164,0,0.29110346,0.29167469,0.29110346,0.30329501,0,0,0,37
38,-26.000000,-10.000000,2.000000,0.61000000,0.00000000,0.00000000,4,0.12076204,0.00000000,0.26233488,0.14101912,4,1,1,37
39,-9.000000,-2.500000,2.000000,0.26000000,0.39952307,0.01609687,0,0.44394602,0.39952307,0.44394602,0.36243122,0,0,0,37
40,6.500000,4.500000,2.000000,0.38000000,0.25313267,0.01019877,0,0.24584917,0.25313267,0.24584917,0.27107327,0,0,0,37
41,29.500000,15.000000,2.000000,0.46000000,0.35023312,0.01411097,0,0.36740373,0.35023312,0.36740373,0.38744607,0,0,0,37
42,53.000000,26.000000,2.000000,0.44000000,0.11538245,0.00464878,2,0.23076491,0.23076491,0.23076491,0.17267852,2,0,0,37
43,67.500000,32.500000,2.000000,0.30000002,0.31317958,0.01261807,0,0.30476131,0.31317958,0.30476131,0.35791772,0,0,0,37
44,83.000000,39.000000,2.000000,0.46000000,0.09847539,0.00396759,2,0.09847539,0.09847539,0.09847539,0.10474533,2,0,0,37
45,120.500000,56.500000,2.000000,0.20000000,0.24997350,0.01007149,0,0.22917231,0.24997350,0.22917231,0.27518782,0,0,0,37
46,-121.000000,-56.500000,2.000000,0.18000000,0.00586332,0.00023623,4,0.02345327,0.02345327,0.20303898,0.00293166,4,1,3,37
