No.,x_m,y_m,z_m,official_velocity_ratio,predicted_velocity_ratio,speed_lbm,solid_corner_neighbors_max,nearest_valid_velocity_ratio,fluid_weighted_velocity_ratio,vertical_valid_above_velocity_ratio,z_plus_half_velocity_ratio,fluid_weighted_solid_neighbors_max,nearest_valid_search_radius_max,vertical_valid_above_dz_max,samples
1,-27.000000,112.000000,2.000000,0.18000000,0.20414695,0.00822512,3,0.24732802,0.27219594,0.24732802,0.26219222,3,0,0,19
2,-93.000000,33.000000,2.000000,0.58999996,0.33221238,0.01338491,0,0.31059840,0.33221238,0.31059840,0.31059840,0,0,0,19
3,-88.000000,35.000000,2.000000,0.38000000,0.28071364,0.01131001,0,0.28762549,0.28071364,0.28762549,0.29084507,0,0,0,19
4,-74.000000,40.000000,2.000000,0.32000000,0.03382278,0.00136273,2,0.11513926,0.04509704,0.11513926,0.07312297,2,0,0,19
5,-61.000000,45.500000,2.000000,0.30000002,0.16601974,0.00668897,2,0.24938331,0.18973685,0.24938331,0.25574422,2,0,0,19
6,-50.500000,49.500000,2.000000,0.34000000,0.11780722,0.00474648,2,0.12078792,0.18849155,0.12078792,0.15802647,2,0,0,19
7,-33.500000,57.500000,2.000000,0.26000000,0.25504647,0.01027588,0,0.24358297,0.25504647,0.24358297,0.24883939,0,0,0,19
8,-9.500000,69.000000,2.000000,0.14000000,0.04523120,0.00182237,4,0.09904940,0.09046241,0.09904940,0.09046241,4,0,0,19
9,7.000000,76.500000,2.000000,0.12000000,0.32487401,0.01308924,0,0.30953731,0.32487401,0.30953731,0.31227556,0,0,0,19
10,45.000000,94.000000,2.000000,0.10000001,0.26224245,0.01056580,0,0.28904856,0.26224245,0.28904856,0.30960353,0,0,0,19
11,80.500000,110.000000,2.000000,0.55000000,0.14357078,0.00578450,2,0.31771627,0.19142770,0.31771627,0.27640672,2,0,0,19
12,-133.000000,21.000000,2.000000,0.30000002,0.26645765,0.01073564,0,0.26046504,0.26645765,0.26046504,0.26046504,0,0,0,19
13,-97.000000,19.000000,2.000000,0.58999996,0.10999719,0.00443181,2,0.21999437,0.21999437,0.21999437,0.21999437,2,0,0,19
14,-84.000000,22.500000,2.000000,0.46000000,0.37425241,0.01507871,0,0.40441656,0.37425241,0.40441656,0.37275687,0,0,0,19
15,-65.500000,29.500000,2.000000,0.40000000,0.38172053,0.01537960,0,0.42234768,0.38172053,0.42234768,0.41504414,0,0,0,19
16,-47.500000,36.500000,2.000000,0.38000000,0.23671895,0.00953746,0,0.27390316,0.23671895,0.27390316,0.24472575,0,0,0,19
17,-25.000000,47.000000,2.000000,0.20000000,0.09128325,0.00367782,4,0.18256649,0.18256649,0.18256649,0.18256649,4,0,0,19
18,-5.000000,56.000000,2.000000,0.28000000,0.16973505,0.00683866,2,0.24033442,0.22631340,0.24033442,0.18574596,2,0,0,19
19,13.500000,64.500000,2.000000,0.32000000,0.34051918,0.01371959,2,0.56359497,0.38916478,0.56359497,0.38369871,2,0,0,19
20,50.000000,81.500000,2.000000,0.20000000,0.17349989,0.00699035,2,0.19179360,0.19828559,0.19179360,0.18018755,2,0,0,19
21,87.000000,97.500000,2.000000,0.40000000,0.33274441,0.01340634,0,0.37247241,0.33274441,0.37247241,0.38561856,0,0,0,19
22,-114.500000,-8.000000,2.000000,0.58999996,0.16109421,0.00649052,2,0.20516841,0.21479228,0.20516841,0.28786911,2,0,0,19
23,-90.500000,8.000000,2.000000,0.54000004,0.15726796,0.00633636,2,0.23777610,0.20969062,0.23777610,0.23573288,2,0,0,19
24,-56.000000,33.000000,2.000000,0.46000000,0.18909750,0.00761878,0,0.19093358,0.18909750,0.19093358,0.19436715,0,0,0,19
25,-51.000000,22.000000,2.000000,0.52000000,0.38335731,0.01544555,0,0.42245798,0.38335731,0.42245798,0.39896744,0,0,0,19
26,-46.500000,11.000000,2.000000,0.55000000,0.35393002,0.01425992,0,0.36773946,0.35393002,0.36773946,0.36948744,0,0,0,19
27,-39.000000,16.000000,2.000000,0.48000000,0.20465197,0.00824547,2,0.18794746,0.27286929,0.18794746,0.27149070,2,0,0,19
28,-39.500000,-4.000000,2.000000,0.71000000,0.34325514,0.01382982,0,0.42223986,0.34325514,0.42223986,0.32113968,0,0,0,19
29,-32.000000,0.000000,2.000000,0.61000000,0.60326795,0.02430579,0,0.62507171,0.60326795,0.62507171,0.61685888,0,0,0,19
30,-39.000000,-11.000000,2.000000,0.69000000,0.19581887,0.00788958,2,0.21024823,0.19581887,0.21024823,0.21024823,2,0,0,19
