No.,x_m,y_m,z_m,official_velocity_ratio,predicted_velocity_ratio,speed_lbm,solid_corner_neighbors_max,nearest_valid_velocity_ratio,fluid_weighted_velocity_ratio,vertical_valid_above_velocity_ratio,z_plus_half_velocity_ratio,fluid_weighted_solid_neighbors_max,nearest_valid_search_radius_max,vertical_valid_above_dz_max,samples
1,-27.000000,112.000000,2.000000,0.18000000,0.21135099,0.00851538,2,0.41571135,0.28180137,0.41571135,0.19414788,2,0,0,19
2,-93.000000,33.000000,2.000000,0.58999996,0.32463934,0.01307979,0,0.31703529,0.32463934,0.31703529,0.30020891,0,0,0,19
3,-88.000000,35.000000,2.000000,0.38000000,0.30533906,0.01230218,0,0.31013625,0.30533909,0.31013625,0.25194154,0,0,0,19
4,-74.000000,40.000000,2.000000,0.32000000,0.28928486,0.01165535,0,0.30405929,0.28928486,0.30405929,0.28855878,0,0,0,19
5,-61.000000,45.500000,2.000000,0.30000002,0.18277953,0.00736423,2,0.25742627,0.25307787,0.25742627,0.27799657,2,0,0,19
6,-50.500000,49.500000,2.000000,0.34000000,0.08458605,0.00340799,2,0.13307710,0.11711847,0.13307710,0.13728232,2,0,0,19
7,-33.500000,57.500000,2.000000,0.26000000,0.02182677,0.00087941,4,0.13419718,0.13096062,0.13419718,0.08730709,4,1,1,19
8,-9.500000,69.000000,2.000000,0.14000000,0.05220190,0.00210323,2,0.26718112,0.17084024,0.14825676,0.09562377,2,1,1,19
9,7.000000,76.500000,2.000000,0.12000000,0.31810437,0.01281649,2,0.48387956,0.44044963,0.48387956,0.34398882,2,0,0,19
10,45.000000,94.000000,2.000000,0.10000001,0.27196328,0.01095746,0,0.26562152,0.27196330,0.26562152,0.30534224,0,0,0,19
11,80.500000,110.000000,2.000000,0.55000000,0.03328915,0.00134123,4,0.14368545,0.19973497,0.14368545,0.13315666,4,1,1,19
12,-133.000000,21.000000,2.000000,0.30000002,0.40797153,0.01643726,0,0.42358781,0.40797153,0.42358781,0.41934833,0,0,0,19
13,-97.000000,19.000000,2.000000,0.58999996,0.38773286,0.01562184,0,0.47712299,0.38773280,0.47712299,0.34487291,0,0,0,19
14,-84.000000,22.500000,2.000000,0.46000000,0.45704337,0.01841438,0,0.47814576,0.45704337,0.47814576,0.44788237,0,0,0,19
15,-65.500000,29.500000,2.000000,0.40000000,0.38070758,0.01533879,0,0.36742580,0.38070758,0.36742580,0.39987392,0,0,0,19
16,-47.500000,36.500000,2.000000,0.38000000,0.30017836,0.01209425,0,0.30634693,0.30017836,0.30634693,0.31480297,0,0,0,19
17,-25.000000,47.000000,2.000000,0.20000000,0.07449564,0.00300145,2,0.25880409,0.24380055,0.28275745,0.19626100,2,1,1,19
18,-5.000000,56.000000,2.000000,0.28000000,0.01551694,0.00062518,4,0.10120365,0.09310168,0.10120365,0.06206779,4,1,1,19
19,13.500000,64.500000,2.000000,0.32000000,0.14606726,0.00588508,4,0.23854060,0.21909922,0.23854060,0.11346253,4,0,0,19
20,50.000000,81.500000,2.000000,0.20000000,0.01421648,0.00057279,3,0.04573872,0.02020225,0.04573872,0.04999313,3,0,0,19
21,87.000000,97.500000,2.000000,0.40000000,0.15788576,0.00636125,2,0.11952815,0.18946234,0.11952815,0.20460178,2,0,0,19
22,-114.500000,-8.000000,2.000000,0.58999996,0.05153979,0.00207655,4,0.01614687,0.10914313,0.01614687,0.04940172,4,0,0,19
23,-90.500000,8.000000,2.000000,0.54000004,0.15408157,0.00620798,2,0.17383310,0.17893433,0.17383310,0.14593247,2,0,0,19
24,-56.000000,33.000000,2.000000,0.46000000,0.30565160,0.01231477,0,0.30808501,0.30565161,0.30808501,0.32011107,0,0,0,19
25,-51.000000,22.000000,2.000000,0.52000000,0.14332867,0.00577474,2,0.29484422,0.24570632,0.29484422,0.14790865,2,0,0,19
26,-46.500000,11.000000,2.000000,0.55000000,0.03616898,0.00145726,4,0.21322945,0.21701395,0.21322945,0.14467599,4,1,1,19
27,-39.000000,16.000000,2.000000,0.48000000,0.07912647,0.00318802,2,0.16228898,0.13564540,0.16228898,0.07963463,2,0,0,19
28,-39.500000,-4.000000,2.000000,0.71000000,0.33228145,0.01338769,0,0.30233719,0.33228148,0.30233719,0.44389991,0,0,0,19
29,-32.000000,0.000000,2.000000,0.61000000,0.05128928,0.00206646,4,0.31470497,0.30773575,0.31470497,0.20515720,4,1,1,19
30,-39.000000,-11.000000,2.000000,0.69000000,0.35666074,0.01436994,0,0.42884623,0.35666079,0.42884623,0.36653441,0,0,0,19
31,6.500000,52.000000,2.000000,0.44000000,0.30184662,0.01216146,3,0.68354517,0.54332412,0.68354517,0.25997589,3,0,0,19
32,65.500000,74.500000,2.000000,0.54000004,0.19551519,0.00787735,2,0.20851282,0.19551519,0.20851282,0.17396583,2,0,0,19
33,73.500000,56.500000,2.000000,0.52000000,0.64885512,0.02614251,0,0.66502029,0.64885512,0.66502029,0.63584723,0,0,0,19
34,-117.500000,-32.000000,2.000000,0.32000000,0.33221722,0.01338510,2,0.67476540,0.56951524,0.35892638,0.41705246,2,1,1,19
35,-86.500000,-35.500000,2.000000,0.50000000,0.09980182,0.00402104,2,0.28267040,0.22455624,0.14425931,0.11927214,2,1,1,19
36,-75.000000,-31.500000,2.000000,0.32000000,0.07242881,0.00291817,2,0.19536530,0.16296638,0.11577218,0.09893240,2,1,1,19
37,-55.500000,-23.000000,2.000000,0.48000000,0.02572556,0.00103649,4,0.23850000,0.15435337,0.15215146,0.10290226,4,1,1,19
38,-26.000000,-10.000000,2.000000,0.61000000,0.36296985,0.01462413,0,0.35913571,0.36296988,0.35913571,0.37221331,0,0,0,19
39,-9.000000,-2.500000,2.000000,0.26000000,0.13686886,0.00551448,2,0.33228747,0.30795788,0.17936946,0.18784001,2,1,1,19
40,6.500000,4.500000,2.000000,0.38000000,0.49089908,0.01977843,0,0.46942933,0.49089908,0.46942933,0.50413331,0,0,0,19
41,29.500000,15.000000,2.000000,0.46000000,0.49607575,0.01998700,0,0.54458972,0.49607575,0.54458972,0.51027574,0,0,0,19
42,53.000000,26.000000,2.000000,0.44000000,0.05706477,0.00229915,2,0.19949733,0.18675486,0.19796442,0.14180206,2,1,1,19
43,67.500000,32.500000,2.000000,0.30000002,0.01872422,0.00075440,2,0.11234537,0.11234537,0.11234537,0.07489692,2,1,1,19
44,83.000000,39.000000,2.000000,0.46000000,0.04590152,0.00184938,4,0.29495752,0.27540917,0.29495752,0.18360614,4,1,1,19
45,120.500000,56.500000,2.000000,0.20000000,0.34322059,0.01382843,0,0.38214184,0.34322059,0.38214184,0.35306079,0,0,0,19
46,-121.000000,-56.500000,2.000000,0.18000000,0.07549726,0.00304180,4,0.08940578,0.12942289,0.08940578,0.06117718,4,0,0,19
47,-96.500000,-59.500000,2.000000,0.20000000,0.05789969,0.00233279,4,0.09466929,0.07444246,0.09466929,0.03936344,4,0,0,19
48,-77.000000,-59.000000,2.000000,0.36000000,0.12131296,0.00488773,4,0.27559495,0.24262528,0.27559495,0.14734218,4,0,0,19
49,-59.500000,-51.500000,2.000000,0.30000002,0.38309270,0.01543489,2,0.42288208,0.38309270,0.42288208,0.34496153,2,0,0,19
50,-45.500000,-45.000000,2.000000,0.26000000,0.19214895,0.00774172,4,0.30671273,0.23057871,0.30671273,0.07685956,4,0,0,19
51,-24.500000,-19.500000,2.000000,0.69000000,0.20637265,0.00831480,2,0.30266505,0.28574507,0.30266505,0.19250896,2,0,0,19
52,-31.000000,-23.500000,2.000000,0.63000000,0.06127460,0.00246877,3,0.13901745,0.09731798,0.13901745,0.02368871,3,0,0,19
53,-24.500000,-38.000000,2.000000,0.57000000,0.26272442,0.01058522,2,0.39837575,0.32614101,0.39837575,0.20892060,2,0,0,19
54,-20.000000,-30.500000,2.000000,0.58999996,0.55885357,0.02251633,2,0.56174893,0.55885357,0.56174893,0.62219088,2,0,0,19
55,-11.000000,-50.000000,2.000000,0.38000000,0.11746044,0.00473251,2,0.20487087,0.20136076,0.20274969,0.14960052,2,1,1,19
56,38.000000,5.500000,2.000000,0.67000000,0.08707727,0.00350836,3,0.09911868,0.08956515,0.09911868,0.11362354,3,0,0,19
57,74.000000,22.000000,2.000000,0.34000000,0.32322943,0.01302298,0,0.34846425,0.32322938,0.34846425,0.32559578,0,0,0,19
58,63.000000,0.500000,2.000000,0.85000000,0.45321790,0.01826025,0,0.56507641,0.45321790,0.56507641,0.49691009,0,0,0,19
59,50.500000,-22.500000,2.000000,0.42000000,0.12385823,0.00499027,2,0.32965921,0.27868371,0.17333563,0.16538269,2,1,1,19
60,88.500000,-6.000000,2.000000,0.73000000,0.05747851,0.00231582,2,0.26232766,0.18810891,0.17756376,0.13404675,2,1,1,19
61,31.000000,0.000000,2.000000,0.54000004,0.04276785,0.00172313,4,0.05966879,0.05773684,0.05966879,0.02608848,4,0,0,19
62,39.500000,-20.000000,2.000000,0.69000000,0.02741875,0.00110471,4,0.04813841,0.07050506,0.16897076,0.05748206,4,1,1,19
63,92.500000,20.000000,2.000000,0.40000000,0.28938004,0.01165918,2,0.33151085,0.33605588,0.33151085,0.29382143,2,0,0,19
64,100.500000,3.500000,2.000000,0.44000000,0.10066617,0.00405586,2,0.29502390,0.22650105,0.19869070,0.15777385,2,1,1,19
65,-83.000000,-94.000000,2.000000,0.30000002,0.08681520,0.00349780,2,0.37687863,0.28411858,0.20096737,0.17255348,2,1,1,19
66,-49.500000,-78.500000,2.000000,0.32000000,0.16836341,0.00678340,2,0.18369007,0.16836341,0.18369007,0.13630574,2,0,0,19
67,-10.000000,-59.500000,2.000000,0.50000000,0.08644300,0.00348281,2,0.24225655,0.19449861,0.15663305,0.14749430,2,1,1,19
68,1.000000,-54.000000,2.000000,0.28000000,0.35669407,0.01437128,3,0.47094941,0.41646344,0.47094941,0.30389526,3,0,0,19
69,26.000000,-43.000000,2.000000,0.24000000,0.02133223,0.00085948,4,0.03452011,0.07679510,0.11884478,0.07649586,4,1,1,19
70,46.500000,-33.500000,2.000000,0.34000000,0.46404954,0.01869666,2,0.48073319,0.46404954,0.48073319,0.41434135,2,0,0,19
