No.,x_m,y_m,z_m,official_velocity_ratio,predicted_velocity_ratio,speed_lbm,solid_corner_neighbors_max,nearest_valid_velocity_ratio,fluid_weighted_velocity_ratio,vertical_valid_above_velocity_ratio,z_plus_half_velocity_ratio,fluid_weighted_solid_neighbors_max,nearest_valid_search_radius_max,vertical_valid_above_dz_max,samples
1,-27.000000,112.000000,2.000000,0.18000000,0.00334615,0.00013482,4,0.00669231,0.00669231,0.09663577,0.04384751,4,1,1,19
2,-93.000000,33.000000,2.000000,0.58999996,0.31130979,0.01254274,0,0.31130979,0.31130979,0.31130979,0.29223285,0,0,0,19
3,-88.000000,35.000000,2.000000,0.38000000,0.28242148,0.01137882,0,0.29617837,0.28242148,0.29617837,0.27146201,0,0,0,19
4,-74.000000,40.000000,2.000000,0.32000000,0.12790092,0.00515316,2,0.06274605,0.12790092,0.06274605,0.08583597,2,0,0,19
5,-61.000000,45.500000,2.000000,0.30000002,0.37994353,0.01530801,0,0.42371562,0.37994353,0.42371562,0.43711877,0,0,0,19
6,-50.500000,49.500000,2.000000,0.34000000,0.12509257,0.00504001,2,0.16342315,0.16679009,0.16342315,0.17726471,2,0,0,19
7,-33.500000,57.500000,2.000000,0.26000000,0.34283334,0.01381283,0,0.35095914,0.34283334,0.35095914,0.35276223,0,0,0,19
8,-9.500000,69.000000,2.000000,0.14000000,0.25241425,0.01016982,0,0.23304857,0.25241425,0.23304857,0.25647135,0,0,0,19
9,7.000000,76.500000,2.000000,0.12000000,0.32173995,0.01296297,0,0.31891234,0.32173995,0.31891234,0.29121790,0,0,0,19
10,45.000000,94.000000,2.000000,0.10000001,0.30852872,0.01243069,0,0.31057174,0.30852872,0.31057174,0.37119620,0,0,0,19
11,80.500000,110.000000,2.000000,0.55000000,0.57483440,0.02316020,0,0.61387314,0.57483440,0.61387314,0.58568612,0,0,0,19
12,-133.000000,21.000000,2.000000,0.30000002,0.33892741,0.01365546,0,0.33892741,0.33892741,0.33892741,0.29791001,0,0,0,19
13,-97.000000,19.000000,2.000000,0.58999996,0.28830637,0.01161593,0,0.28830637,0.28830637,0.28830637,0.27206180,0,0,0,19
14,-84.000000,22.500000,2.000000,0.46000000,0.39391330,0.01587085,0,0.36580569,0.39391330,0.36580569,0.38507887,0,0,0,19
15,-65.500000,29.500000,2.000000,0.40000000,0.31872454,0.01284148,0,0.32151405,0.31872454,0.32151405,0.35080504,0,0,0,19
16,-47.500000,36.500000,2.000000,0.38000000,0.13043308,0.00525518,0,0.11518836,0.13043308,0.11518836,0.19838379,0,0,0,19
17,-25.000000,47.000000,2.000000,0.20000000,0.40648933,0.01637754,0,0.40648933,0.40648933,0.40648933,0.44143263,0,0,0,19
18,-5.000000,56.000000,2.000000,0.28000000,0.30899394,0.01244943,0,0.33993389,0.30899394,0.33993389,0.26782347,0,0,0,19
19,13.500000,64.500000,2.000000,0.32000000,0.18362208,0.00739817,4,0.26773570,0.24482943,0.26773570,0.15373498,4,0,0,19
20,50.000000,81.500000,2.000000,0.20000000,0.31675197,0.01276200,0,0.24237632,0.31675197,0.24237632,0.26047727,0,0,0,19
21,87.000000,97.500000,2.000000,0.40000000,0.31395819,0.01264944,0,0.30013434,0.31395819,0.30013434,0.33243767,0,0,0,19
22,-114.500000,-8.000000,2.000000,0.58999996,0.45322934,0.01826071,0,0.38314242,0.45322934,0.38314242,0.46565356,0,0,0,19
23,-90.500000,8.000000,2.000000,0.54000004,0.12354452,0.00497764,2,0.27760119,0.24708905,0.27760119,0.18590141,2,0,0,19
24,-56.000000,33.000000,2.000000,0.46000000,0.26890357,0.01083418,0,0.26783500,0.26890357,0.26783500,0.33125077,0,0,0,19
25,-51.000000,22.000000,2.000000,0.52000000,0.37803488,0.01523111,0,0.34647321,0.37803488,0.34647321,0.37776183,0,0,0,19
26,-46.500000,11.000000,2.000000,0.55000000,0.44863754,0.01807570,0,0.45374181,0.44863754,0.45374181,0.50416401,0,0,0,19
27,-39.000000,16.000000,2.000000,0.48000000,0.00000000,0.00000000,4,0.11246461,0.00000000,0.32215801,0.15975946,4,1,1,19
28,-39.500000,-4.000000,2.000000,0.71000000,0.14370762,0.00579001,2,0.28174721,0.28741524,0.49485916,0.32523258,2,1,1,19
29,-32.000000,0.000000,2.000000,0.61000000,0.00000000,0.00000000,4,0.04628741,0.00000000,0.18405740,0.14374583,4,1,1,19
30,-39.000000,-11.000000,2.000000,0.69000000,0.43438390,0.01750142,0,0.43438390,0.43438390,0.43438390,0.45527078,0,0,0,19
31,6.500000,52.000000,2.000000,0.44000000,0.33798331,0.01361742,0,0.48335577,0.33798331,0.48335577,0.32787139,0,0,0,19
32,65.500000,74.500000,2.000000,0.54000004,0.00000000,0.00000000,4,0.05185333,0.00000000,0.29043971,0.15341793,4,1,1,19
33,73.500000,56.500000,2.000000,0.52000000,0.40579000,0.01634937,0,0.40996318,0.40579000,0.40996318,0.52404557,0,0,0,19
34,-117.500000,-32.000000,2.000000,0.32000000,0.37927353,0.01528101,0,0.39195576,0.37927353,0.39195576,0.42603391,0,0,0,19
