No.,x_m,y_m,z_m,official_velocity_ratio,predicted_velocity_ratio,speed_lbm,solid_corner_neighbors_max,nearest_valid_velocity_ratio,fluid_weighted_velocity_ratio,vertical_valid_above_velocity_ratio,z_plus_half_velocity_ratio,fluid_weighted_solid_neighbors_max,nearest_valid_search_radius_max,vertical_valid_above_dz_max,samples
1,-27.000000,112.000000,2.000000,0.18000000,0.36811200,0.01483131,4,0.00689856,0.00689856,0.09517465,0.22078124,4,1,1,19
2,-93.000000,33.000000,2.000000,0.58999996,0.30532380,0.01230156,0,0.30532380,0.30532380,0.30532380,0.28511299,0,0,0,19
3,-88.000000,35.000000,2.000000,0.38000000,0.27623761,0.01112967,0,0.29077826,0.27623761,0.29077826,0.26477170,0,0,0,19
4,-74.000000,40.000000,2.000000,0.32000000,0.12702044,0.00511768,2,0.06237916,0.12702044,0.06237916,0.18851534,2,0,0,19
5,-61.000000,45.500000,2.000000,0.30000002,0.38299160,0.01543081,0,0.42882003,0.38299160,0.42882003,0.44474915,0,0,0,19
6,-50.500000,49.500000,2.000000,0.34000000,0.25103049,0.01011407,2,0.16386536,0.16717052,0.16386536,0.26037482,2,0,0,19
7,-33.500000,57.500000,2.000000,0.26000000,0.33576160,0.01352791,0,0.34292233,0.33576160,0.34292233,0.34459975,0,0,0,19
8,-9.500000,69.000000,2.000000,0.14000000,0.24718481,0.00995913,0,0.22783721,0.24718481,0.22783721,0.25282985,0,0,0,19
9,7.000000,76.500000,2.000000,0.12000000,0.31823299,0.01282168,0,0.31515253,0.31823299,0.31515253,0.28535020,0,0,0,19
10,45.000000,94.000000,2.000000,0.10000001,0.30604088,0.01233045,0,0.30927886,0.30604088,0.30927886,0.36656493,0,0,0,19
11,80.500000,110.000000,2.000000,0.55000000,0.57609028,0.02321080,0,0.61535534,0.57609028,0.61535534,0.58684386,0,0,0,19
12,-133.000000,21.000000,2.000000,0.30000002,0.32901610,0.01325613,0,0.32901610,0.32901610,0.32901610,0.28949912,0,0,0,19
13,-97.000000,19.000000,2.000000,0.58999996,0.29022147,0.01169309,0,0.29022147,0.29022147,0.29022147,0.27238857,0,0,0,19
14,-84.000000,22.500000,2.000000,0.46000000,0.41574750,0.01675056,0,0.38720640,0.41574750,0.38720640,0.40572419,0,0,0,19
15,-65.500000,29.500000,2.000000,0.40000000,0.33549550,0.01351719,0,0.33925803,0.33549550,0.33925803,0.37244432,0,0,0,19
16,-47.500000,36.500000,2.000000,0.38000000,0.12559399,0.00506021,0,0.10779791,0.12559399,0.10779791,0.19728855,0,0,0,19
17,-25.000000,47.000000,2.000000,0.20000000,0.40357907,0.01626029,0,0.40357907,0.40357907,0.40357907,0.43729418,0,0,0,19
18,-5.000000,56.000000,2.000000,0.28000000,0.31324003,0.01262051,0,0.34144142,0.31324003,0.34144142,0.27288376,0,0,0,19
19,13.500000,64.500000,2.000000,0.32000000,0.36210918,0.01458946,4,0.27811280,0.25322178,0.27811280,0.34048126,4,0,0,19
20,50.000000,81.500000,2.000000,0.20000000,0.31046875,0.01250885,0,0.23799841,0.31046875,0.23799841,0.25461127,0,0,0,19
21,87.000000,97.500000,2.000000,0.40000000,0.31482439,0.01268434,0,0.30148324,0.31482439,0.30148324,0.33438090,0,0,0,19
22,-114.500000,-8.000000,2.000000,0.58999996,0.44646242,0.01798807,0,0.38262740,0.44646242,0.38262740,0.45568261,0,0,0,19
23,-90.500000,8.000000,2.000000,0.54000004,0.40493606,0.01631496,2,0.27866134,0.24864824,0.27866134,0.35369368,2,0,0,19
24,-56.000000,33.000000,2.000000,0.46000000,0.25884906,0.01042908,0,0.25823039,0.25884906,0.25823039,0.32527003,0,0,0,19
25,-51.000000,22.000000,2.000000,0.52000000,0.38414141,0.01547714,0,0.35010891,0.38414141,0.35010891,0.38361927,0,0,0,19
26,-46.500000,11.000000,2.000000,0.55000000,0.44777795,0.01804107,0,0.45334246,0.44777795,0.45334246,0.50496498,0,0,0,19
27,-39.000000,16.000000,2.000000,0.48000000,0.74535663,0.03003058,4,0.11263481,0.74535663,0.31542727,0.52136780,4,1,1,19
28,-39.500000,-4.000000,2.000000,0.71000000,0.42700008,0.01720392,2,0.27502765,0.28111278,0.49054256,0.48185507,2,1,1,19
29,-32.000000,0.000000,2.000000,0.61000000,0.73647969,0.02967292,4,0.04632225,0.73647969,0.17299459,0.48907817,4,1,1,19
30,-39.000000,-11.000000,2.000000,0.69000000,0.42782952,0.01723734,0,0.42782952,0.42782952,0.42782952,0.45444404,0,0,0,19
31,6.500000,52.000000,2.000000,0.44000000,0.33812986,0.01362332,0,0.48380214,0.33812986,0.48380214,0.32810859,0,0,0,19
32,65.500000,74.500000,2.000000,0.54000004,0.74013700,0.02982028,4,0.05173285,0.74013700,0.28076411,0.51766328,4,1,1,19
33,73.500000,56.500000,2.000000,0.52000000,0.40656306,0.01638051,0,0.41135825,0.40656306,0.41135825,0.52155515,0,0,0,19
34,-117.500000,-32.000000,2.000000,0.32000000,0.37373214,0.01505775,0,0.37847758,0.37373214,0.37847758,0.41763298,0,0,0,19
35,-86.500000,-35.500000,2.000000,0.50000000,0.35275064,0.01421240,0,0.40784874,0.35275064,0.40784874,0.34493904,0,0,0,19
36,-75.000000,-31.500000,2.000000,0.32000000,0.36081368,0.01453726,0,0.39416351,0.36081368,0.39416351,0.36636022,0,0,0,19
37,-55.500000,-23.000000,2.000000,0.48000000,0.27214402,0.01096474,0,0.27143514,0.27214402,0.27143514,0.29014527,0,0,0,19
38,-26.000000,-10.000000,2.000000,0.61000000,0.39062401,0.01573833,0,0.36710614,0.39062401,0.36710614,0.41661412,0,0,0,19
39,-9.000000,-2.500000,2.000000,0.26000000,0.28732266,0.01157629,2,0.30166244,0.30166245,0.30166244,0.23386214,2,0,0,19
40,6.500000,4.500000,2.000000,0.38000000,0.24831518,0.01000467,0,0.23808643,0.24831518,0.23808643,0.26949557,0,0,0,19
41,29.500000,15.000000,2.000000,0.46000000,0.35256452,0.01420490,0,0.36990952,0.35256452,0.36990952,0.39174418,0,0,0,19
42,53.000000,26.000000,2.000000,0.44000000,0.36752246,0.01480756,2,0.22921426,0.22921426,0.22921426,0.28813976,2,0,0,19
43,67.500000,32.500000,2.000000,0.30000002,0.31438548,0.01266666,0,0.30731559,0.31438548,0.30731559,0.35539016,0,0,0,19
44,83.000000,39.000000,2.000000,0.46000000,0.09874971,0.00397865,2,0.09874971,0.09874971,0.09874971,0.10564073,2,0,0,19
45,120.500000,56.500000,2.000000,0.20000000,0.25334721,0.01020741,0,0.23255145,0.25334721,0.23255145,0.27964102,0,0,0,19
46,-121.000000,-56.500000,2.000000,0.18000000,0.75560575,0.03044352,4,0.16325119,0.75560575,0.28348804,0.78057528,4,1,3,19
47,-96.500000,-59.500000,2.000000,0.20000000,0.18592493,0.00749096,4,0.02994109,0.01624256,0.02994109,0.19160531,4,0,0,19
48,-77.000000,-59.000000,2.000000,0.36000000,0.36329296,0.01463715,0,0.36329296,0.36329296,0.36329296,0.36161142,0,0,0,19
49,-59.500000,-51.500000,2.000000,0.30000002,0.21269183,0.00856940,2,0.27367642,0.29028907,0.27367642,0.21820039,2,0,0,19
50,-45.500000,-45.000000,2.000000,0.26000000,0.19322392,0.00778503,6,0.08583309,0.08583309,0.08583309,0.20677956,6,0,0,19
