No.,x_m,y_m,z_m,official_velocity_ratio,predicted_velocity_ratio,speed_lbm,solid_corner_neighbors_max,nearest_valid_velocity_ratio,fluid_weighted_velocity_ratio,vertical_valid_above_velocity_ratio,z_plus_half_velocity_ratio,fluid_weighted_solid_neighbors_max,nearest_valid_search_radius_max,vertical_valid_above_dz_max,samples
1,-27.000000,112.000000,2.000000,0.18000000,0.35870134,0.01445215,4,0.00718679,0.00718679,0.09358844,0.21554474,4,1,1,19
2,-93.000000,33.000000,2.000000,0.58999996,0.29769680,0.01199427,0,0.29769680,0.29769680,0.29769680,0.27769968,0,0,0,19
3,-88.000000,35.000000,2.000000,0.38000000,0.27131773,0.01093145,0,0.28726588,0.27131773,0.28726588,0.25804203,0,0,0,19
4,-74.000000,40.000000,2.000000,0.32000000,0.13098776,0.00527753,2,0.06412452,0.13098776,0.06412452,0.19143615,2,0,0,19
5,-61.000000,45.500000,2.000000,0.30000002,0.38196949,0.01538963,0,0.43053452,0.38196949,0.43053452,0.44967701,0,0,0,19
6,-50.500000,49.500000,2.000000,0.34000000,0.25553245,0.01029546,2,0.16262975,0.16565576,0.16262975,0.26688034,2,0,0,19
7,-33.500000,57.500000,2.000000,0.26000000,0.32214227,0.01297918,0,0.32897910,0.32214227,0.32897910,0.33089984,0,0,0,19
8,-9.500000,69.000000,2.000000,0.14000000,0.24025329,0.00967986,0,0.22081387,0.24025329,0.22081387,0.24838392,0,0,0,19
9,7.000000,76.500000,2.000000,0.12000000,0.30973292,0.01247921,0,0.30662925,0.30973292,0.30662925,0.27533339,0,0,0,19
10,45.000000,94.000000,2.000000,0.10000001,0.30697412,0.01236805,0,0.31113330,0.30697412,0.31113330,0.36618167,0,0,0,19
11,80.500000,110.000000,2.000000,0.55000000,0.59159836,0.02383562,0,0.63288054,0.59159836,0.63288054,0.60324800,0,0,0,19
12,-133.000000,21.000000,2.000000,0.30000002,0.31537769,0.01270663,0,0.31537769,0.31537769,0.31537769,0.27737358,0,0,0,19
13,-97.000000,19.000000,2.000000,0.58999996,0.28805325,0.01160573,0,0.28805325,0.28805325,0.28805325,0.26744242,0,0,0,19
14,-84.000000,22.500000,2.000000,0.46000000,0.43775241,0.01763714,0,0.40895182,0.43775241,0.40895182,0.42569208,0,0,0,19
15,-65.500000,29.500000,2.000000,0.40000000,0.34778703,0.01401241,0,0.35266982,0.34778703,0.35266982,0.39023289,0,0,0,19
16,-47.500000,36.500000,2.000000,0.38000000,0.12181014,0.00490776,0,0.10119115,0.12181014,0.10119115,0.19479209,0,0,0,19
17,-25.000000,47.000000,2.000000,0.20000000,0.39715808,0.01600158,0,0.39715808,0.39715808,0.39715808,0.42838194,0,0,0,19
18,-5.000000,56.000000,2.000000,0.28000000,0.31362829,0.01263615,0,0.33936552,0.31362829,0.33936552,0.27300811,0,0,0,19
19,13.500000,64.500000,2.000000,0.32000000,0.37674181,0.01517901,4,0.28650372,0.26004122,0.28650372,0.35595309,4,0,0,19
20,50.000000,81.500000,2.000000,0.20000000,0.30730585,0.01238142,0,0.23544152,0.30730585,0.23544152,0.25123631,0,0,0,19
21,87.000000,97.500000,2.000000,0.40000000,0.31771810,0.01280093,0,0.30529813,0.31771810,0.30529813,0.33956729,0,0,0,19
22,-114.500000,-8.000000,2.000000,0.58999996,0.43501376,0.01752680,0,0.38049878,0.43501376,0.38049878,0.44037499,0,0,0,19
23,-90.500000,8.000000,2.000000,0.54000004,0.40451513,0.01629800,2,0.27990634,0.25060761,0.27990634,0.36185601,2,0,0,19
24,-56.000000,33.000000,2.000000,0.46000000,0.24809656,0.00999586,0,0.24827087,0.24809656,0.24827087,0.31700220,0,0,0,19
25,-51.000000,22.000000,2.000000,0.52000000,0.39594289,0.01595262,0,0.35788861,0.39594289,0.35788861,0.39510580,0,0,0,19
26,-46.500000,11.000000,2.000000,0.55000000,0.44586911,0.01796416,0,0.45194330,0.44586911,0.45194330,0.50695378,0,0,0,19
27,-39.000000,16.000000,2.000000,0.48000000,0.73618765,0.02966116,4,0.11272443,0.73618765,0.31238128,0.51563037,4,1,1,19
28,-39.500000,-4.000000,2.000000,0.71000000,0.42208535,0.01700591,2,0.26207597,0.26996678,0.49241318,0.48290548,2,1,1,19
29,-32.000000,0.000000,2.000000,0.61000000,0.71843363,0.02894584,4,0.04636820,0.71843363,0.15500315,0.47194717,4,1,1,19
30,-39.000000,-11.000000,2.000000,0.69000000,0.47062821,0.01896171,0,0.47062821,0.47062821,0.47062821,0.50711373,0,0,0,19
31,6.500000,52.000000,2.000000,0.44000000,0.33812611,0.01362317,0,0.48376918,0.33812611,0.48376918,0.32812911,0,0,0,19
32,65.500000,74.500000,2.000000,0.54000004,0.72574829,0.02924055,4,0.05181079,0.72574829,0.27882847,0.50978966,4,1,1,19
33,73.500000,56.500000,2.000000,0.52000000,0.40762204,0.01642318,0,0.41227822,0.40762204,0.41227822,0.52350274,0,0,0,19
34,-117.500000,-32.000000,2.000000,0.32000000,0.34371671,0.01384842,0,0.33932955,0.34371671,0.33932955,0.38086212,0,0,0,19
35,-86.500000,-35.500000,2.000000,0.50000000,0.36139650,0.01456074,0,0.41521517,0.36139650,0.41521517,0.35134617,0,0,0,19
36,-75.000000,-31.500000,2.000000,0.32000000,0.36335065,0.01463948,0,0.40049024,0.36335065,0.40049024,0.35979626,0,0,0,19
37,-55.500000,-23.000000,2.000000,0.48000000,0.29782087,0.01199927,0,0.30138420,0.29782087,0.30138420,0.30448626,0,0,0,19
38,-26.000000,-10.000000,2.000000,0.61000000,0.35544681,0.01432103,0,0.34149894,0.35544681,0.34149894,0.38462020,0,0,0,19
39,-9.000000,-2.500000,2.000000,0.26000000,0.28912040,0.01164872,2,0.29238305,0.29238305,0.29238305,0.23211284,2,0,0,19
40,6.500000,4.500000,2.000000,0.38000000,0.26805182,0.01079987,0,0.27394820,0.26805182,0.27394820,0.28144195,0,0,0,19
41,29.500000,15.000000,2.000000,0.46000000,0.36031702,0.01451725,0,0.37862268,0.36031702,0.37862268,0.40259882,0,0,0,19
42,53.000000,26.000000,2.000000,0.44000000,0.35485353,0.01429712,2,0.22852808,0.22852808,0.22852808,0.28094463,2,0,0,19
43,67.500000,32.500000,2.000000,0.30000002,0.31600390,0.01273186,0,0.31004642,0.31600390,0.31004642,0.35387621,0,0,0,19
44,83.000000,39.000000,2.000000,0.46000000,0.10461731,0.00421505,2,0.10461731,0.10461731,0.10461731,0.11208615,2,0,0,19
45,120.500000,56.500000,2.000000,0.20000000,0.25903474,0.01043657,0,0.23898425,0.25903474,0.23898425,0.28570006,0,0,0,19
46,-121.000000,-56.500000,2.000000,0.18000000,0.75668589,0.03048704,4,0.16589565,0.75668589,0.26635714,0.78004853,4,1,3,19
47,-96.500000,-59.500000,2.000000,0.20000000,0.18252145,0.00735383,4,0.03019255,0.01644554,0.03019255,0.18794355,4,0,0,19
48,-77.000000,-59.000000,2.000000,0.36000000,0.36559489,0.01472990,0,0.36559489,0.36559489,0.36559489,0.37505220,0,0,0,19
49,-59.500000,-51.500000,2.000000,0.30000002,0.21712662,0.00874808,2,0.26972170,0.28001097,0.26972170,0.22682370,2,0,0,19
50,-45.500000,-45.000000,2.000000,0.26000000,0.19505563,0.00785883,6,0.08569411,0.08569411,0.08569411,0.20829362,6,0,0,19
51,-24.500000,-19.500000,2.000000,0.69000000,0.48372640,0.01948944,0,0.47111338,0.48372640,0.47111338,0.47286764,0,0,0,19
52,-31.000000,-23.500000,2.000000,0.63000000,0.31751214,0.01279263,0,0.35189157,0.31751214,0.35189157,0.28041984,0,0,0,19
53,-24.500000,-38.000000,2.000000,0.57000000,0.43930907,0.01769986,4,0.24724129,0.24917645,0.24724129,0.41372591,4,0,0,19
54,-20.000000,-30.500000,2.000000,0.58999996,0.39521019,0.01592310,0,0.34884503,0.39521019,0.34884503,0.39080795,0,0,0,19
55,-11.000000,-50.000000,2.000000,0.38000000,0.33448052,0.01347629,0,0.42357697,0.33448052,0.42357697,0.32749873,0,0,0,19
56,38.000000,5.500000,2.000000,0.67000000,0.31566827,0.01271834,2,0.20146313,0.28746024,0.20146313,0.33200874,2,0,0,19
57,74.000000,22.000000,2.000000,0.34000000,0.32781796,0.01320786,0,0.24843611,0.32781796,0.24843611,0.41657891,0,0,0,19
58,63.000000,0.500000,2.000000,0.85000000,0.71755594,0.02891048,4,0.16884404,0.71755594,0.24432276,0.45932416,4,1,1,19
59,50.500000,-22.500000,2.000000,0.42000000,0.32685337,0.01316899,0,0.33621141,0.32685337,0.33621141,0.32644102,0,0,0,19
60,88.500000,-6.000000,2.000000,0.73000000,0.34242154,0.01379624,0,0.34436930,0.34242154,0.34436930,0.36058502,0,0,0,19
61,31.000000,0.000000,2.000000,0.54000004,0.40345237,0.01625518,4,0.06947594,0.06947594,0.11500891,0.42853732,4,1,1,19
62,39.500000,-20.000000,2.000000,0.69000000,0.36325613,0.01463567,2,0.19006607,0.22697801,0.19006607,0.35671644,2,0,0,19
63,92.500000,20.000000,2.000000,0.40000000,0.41260753,0.01662405,0,0.36944784,0.41260753,0.36944784,0.49755132,0,0,0,19
64,100.500000,3.500000,2.000000,0.44000000,0.31204783,0.01257247,0,0.30697363,0.31204783,0.30697363,0.31983653,0,0,0,19
65,-83.000000,-94.000000,2.000000,0.30000002,0.47245054,0.01903513,0,0.64201256,0.47245054,0.64201256,0.46076125,0,0,0,19
66,-49.500000,-78.500000,2.000000,0.32000000,0.42173261,0.01699170,2,0.42312217,0.42173261,0.42312217,0.41803266,2,0,0,19
67,-10.000000,-59.500000,2.000000,0.50000000,0.35482480,0.01429597,0,0.33286576,0.35482480,0.33286576,0.36926269,0,0,0,19
68,1.000000,-54.000000,2.000000,0.28000000,0.24255434,0.00977257,0,0.18005021,0.24255434,0.18005021,0.20739718,0,0,0,19
69,26.000000,-43.000000,2.000000,0.24000000,0.43700755,0.01760713,0,0.46241639,0.43700755,0.46241639,0.44055309,0,0,0,19
70,46.500000,-33.500000,2.000000,0.34000000,0.40291993,0.01623373,0,0.47738563,0.40291993,0.47738563,0.40396109,0,0,0,19
71,66.500000,-24.500000,2.000000,0.50000000,0.20797329,0.00837929,0,0.17969034,0.20797329,0.17969034,0.20768931,0,0,0,19
72,82.000000,-17.500000,2.000000,0.38000000,0.23406877,0.00943068,0,0.26394209,0.23406877,0.26394209,0.25107429,0,0,0,19
73,98.500000,-9.500000,2.000000,0.52000000,0.55177604,0.02223117,2,0.12768497,0.15700508,0.19522125,0.36030573,2,1,1,19
74,56.500000,-54.500000,2.000000,0.26000000,0.29840668,0.01202287,4,0.06934810,0.06934810,0.06934810,0.21909547,4,0,0,19
75,109.000000,-17.500000,2.000000,0.63000000,0.52780822,0.02126551,0,0.52711220,0.52780822,0.52711220,0.56001436,0,0,0,19
76,116.000000,-30.500000,2.000000,0.50000000,0.49285864,0.01985738,0,0.46469587,0.49285864,0.46469587,0.47786861,0,0,0,19
77,5.000000,-94.000000,2.000000,0.46000000,0.40658763,0.01638150,0,0.25129918,0.40658763,0.25129918,0.49789001,0,0,0,19
78,45.500000,-86.500000,2.000000,0.28000000,0.69622643,0.02805111,4,0.06164165,0.69622643,0.07452469,0.32293252,4,1,1,19
79,81.500000,-69.500000,2.000000,0.32000000,0.75906247,0.03058279,4,0.06455184,0.75906247,0.14803159,0.36812188,4,1,1,19
80,125.000000,-49.500000,2.000000,0.54000004,0.32586442,0.01312915,0,0.36486854,0.32586442,0.36486854,0.32634089,0,0,0,19
