No.,x_m,y_m,z_m,official_velocity_ratio,predicted_velocity_ratio,speed_lbm,solid_corner_neighbors_max,nearest_valid_velocity_ratio,fluid_weighted_velocity_ratio,vertical_valid_above_velocity_ratio,z_plus_half_velocity_ratio,fluid_weighted_solid_neighbors_max,nearest_valid_search_radius_max,vertical_valid_above_dz_max,samples
1,-27.000000,112.000000,2.000000,0.18000000,0.32396099,0.01305246,4,0.01380298,0.01380298,0.11359632,0.20444211,4,1,1,19
2,-93.000000,33.000000,2.000000,0.58999996,0.28849039,0.01162334,0,0.28849039,0.28849039,0.28849039,0.28093498,0,0,0,19
3,-88.000000,35.000000,2.000000,0.38000000,0.26600871,0.01071755,0,0.28321054,0.26600871,0.28321054,0.25568368,0,0,0,19
4,-74.000000,40.000000,2.000000,0.32000000,0.21849016,0.00880302,2,0.13702681,0.21849016,0.13702681,0.19569994,2,0,0,19
5,-61.000000,45.500000,2.000000,0.30000002,0.37829515,0.01524159,0,0.44512374,0.37829515,0.44512374,0.50351589,0,0,0,19
6,-50.500000,49.500000,2.000000,0.34000000,0.29518068,0.01189289,2,0.18624704,0.18486809,0.18624704,0.32957625,2,0,0,19
7,-33.500000,57.500000,2.000000,0.26000000,0.30687848,0.01236420,0,0.31107058,0.30687848,0.31107058,0.31265363,0,0,0,19
8,-9.500000,69.000000,2.000000,0.14000000,0.23041175,0.00928334,0,0.21085053,0.23041175,0.21085053,0.24919781,0,0,0,19
9,7.000000,76.500000,2.000000,0.12000000,0.31241395,0.01258722,0,0.31445697,0.31241395,0.31445697,0.25501761,0,0,0,19
10,45.000000,94.000000,2.000000,0.10000001,0.33423322,0.01346633,0,0.34688876,0.33423322,0.34688876,0.38294526,0,0,0,19
11,80.500000,110.000000,2.000000,0.55000000,0.64514633,0.02599308,0,0.71200761,0.64514633,0.71200761,0.63215936,0,0,0,19
12,-133.000000,21.000000,2.000000,0.30000002,0.32455601,0.01307643,0,0.32455601,0.32455601,0.32455601,0.28641502,0,0,0,19
13,-97.000000,19.000000,2.000000,0.58999996,0.30627989,0.01234008,0,0.30627989,0.30627989,0.30627989,0.28105623,0,0,0,19
14,-84.000000,22.500000,2.000000,0.46000000,0.48515689,0.01954708,0,0.44396210,0.48515689,0.44396210,0.44727149,0,0,0,19
15,-65.500000,29.500000,2.000000,0.40000000,0.38044767,0.01532832,0,0.40249089,0.38044767,0.40249089,0.46505966,0,0,0,19
16,-47.500000,36.500000,2.000000,0.38000000,0.17082853,0.00688272,0,0.16327714,0.17082853,0.16327714,0.20113961,0,0,0,19
17,-25.000000,47.000000,2.000000,0.20000000,0.40234054,0.01621039,0,0.40234054,0.40234054,0.40234054,0.42534130,0,0,0,19
18,-5.000000,56.000000,2.000000,0.28000000,0.36101167,0.01454524,0,0.36676470,0.36101167,0.36676470,0.31685100,0,0,0,19
19,13.500000,64.500000,2.000000,0.32000000,0.46387013,0.01868943,4,0.36836988,0.32708811,0.36836988,0.43800838,4,0,0,19
20,50.000000,81.500000,2.000000,0.20000000,0.28940115,0.01166003,0,0.22274519,0.28940115,0.22274519,0.23600148,0,0,0,19
21,87.000000,97.500000,2.000000,0.40000000,0.33318834,0.01342423,0,0.33268693,0.33318834,0.33268693,0.37170372,0,0,0,19
22,-114.500000,-8.000000,2.000000,0.58999996,0.49312883,0.01986827,0,0.42504433,0.49312883,0.42504433,0.48715351,0,0,0,19
23,-90.500000,8.000000,2.000000,0.54000004,0.39913078,0.01608106,2,0.28243753,0.25742165,0.28243753,0.39158984,2,0,0,19
24,-56.000000,33.000000,2.000000,0.46000000,0.12313088,0.00496097,0,0.14099678,0.12313088,0.14099678,0.18370504,0,0,0,19
25,-51.000000,22.000000,2.000000,0.52000000,0.42484442,0.01711707,0,0.35870674,0.42484442,0.35870674,0.44796091,0,0,0,19
26,-46.500000,11.000000,2.000000,0.55000000,0.48837213,0.01967662,0,0.51492668,0.48837213,0.51492668,0.56564460,0,0,0,19
27,-39.000000,16.000000,2.000000,0.48000000,0.70213129,0.02828902,4,0.11395858,0.70213129,0.38750754,0.52420341,4,1,1,19
28,-39.500000,-4.000000,2.000000,0.71000000,0.41486325,0.01671493,2,0.24075749,0.26110711,0.60638995,0.54030557,2,1,1,19
29,-32.000000,0.000000,2.000000,0.61000000,0.65140566,0.02624527,4,0.04699752,0.65140566,0.19059295,0.47265695,4,1,1,19
30,-39.000000,-11.000000,2.000000,0.69000000,0.65414129,0.02635549,0,0.65414129,0.65414129,0.65414129,0.70678587,0,0,0,19
31,6.500000,52.000000,2.000000,0.44000000,0.36505453,0.01470813,0,0.52801684,0.36505453,0.52801684,0.38064743,0,0,0,19
32,65.500000,74.500000,2.000000,0.54000004,0.67230462,0.02708730,4,0.05099942,0.67230462,0.27458295,0.48365685,4,1,1,19
33,73.500000,56.500000,2.000000,0.52000000,0.43907241,0.01769032,0,0.44237685,0.43907241,0.44237685,0.54813018,0,0,0,19
34,-117.500000,-32.000000,2.000000,0.32000000,0.36778309,0.01481806,0,0.37856999,0.36778309,0.37856999,0.38981806,0,0,0,19
35,-86.500000,-35.500000,2.000000,0.50000000,0.38071730,0.01533918,0,0.44504531,0.38071730,0.44504531,0.36564473,0,0,0,19
36,-75.000000,-31.500000,2.000000,0.32000000,0.40471100,0.01630589,0,0.43993904,0.40471100,0.43993904,0.40390495,0,0,0,19
37,-55.500000,-23.000000,2.000000,0.48000000,0.31868977,0.01284008,0,0.33245867,0.31868977,0.33245867,0.31458792,0,0,0,19
