No.,x_m,y_m,official_velocity_ratio,predicted_velocity_ratio,residual_pp,abs_error_pp,sse_share,solid_corner_neighbors_max,solid_risk_group,official_bin,diagnostic_z_plus_half_ratio,diagnostic_vertical_valid_above_ratio
46,-121.0,-56.5,0.18,0.76069769,58.06976900000001,58.06976900000001,0.1340842433605987,4,solid3_4_high_risk,official_low_lt_0p3,0.77809167,0.29209349
79,81.5,-69.5,0.32,0.76748792,44.748792,44.748792,0.07962330140712505,4,solid3_4_high_risk,official_mid_0p3_0p6,0.36186643,0.15998976
60,88.5,-6.0,0.73,0.35936936,-37.063064,37.063064,0.05462106803280607,0,solid0_low_risk,official_high_ge_0p6,0.41133554,0.35678112
56,38.0,5.5,0.67,0.31968458,-35.031542,35.031542,0.04879732972817291,2,solid1_2_moderate_risk,official_high_ge_0p6,0.35358265,0.22233045
24,-56.0,33.0,0.46,0.12313088,-33.686912,33.686912,0.04512320643700895,0,solid0_low_risk,official_mid_0p3_0p6,0.18370504,0.14099678
62,39.5,-20.0,0.69,0.35631233,-33.36876699999999,33.36876699999999,0.04427492841415497,2,solid1_2_moderate_risk,official_high_ge_0p6,0.34949082,0.20808899
78,45.5,-86.5,0.28,0.58795637,30.795637,30.795637,0.037709947896287385,4,solid3_4_high_risk,official_low_lt_0p3,0.26951879,0.12773265
2,-93.0,33.0,0.58999996,0.28849039,-30.150957000000002,30.150957000000002,0.03614762360217087,0,solid0_low_risk,official_mid_0p3_0p6,0.28093498,0.28849039
28,-39.5,-4.0,0.71,0.41486325,-29.513674999999996,29.513674999999996,0.03463571280991084,2,solid1_2_moderate_risk,official_high_ge_0p6,0.54030557,0.60638995
13,-97.0,19.0,0.58999996,0.30627989,-28.372007,28.372007,0.03200793566209364,0,solid0_low_risk,official_mid_0p3_0p6,0.28105623,0.30627989
71,66.5,-24.5,0.5,0.22181181,-27.818819,27.818819,0.030771943503158393,0,solid0_low_risk,official_mid_0p3_0p6,0.24410515,0.20122049
38,-26.0,-10.0,0.61,0.35245754,-25.754246,25.754246,0.026373953012834586,0,solid0_low_risk,official_high_ge_0p6,0.37958176,0.33819549
52,-31.0,-23.5,0.63,0.37578031,-25.421969,25.421969,0.025697798436514433,0,solid0_low_risk,official_high_ge_0p6,0.33893454,0.41998869
44,83.0,39.0,0.46,0.22419974,-23.580026,23.580026,0.02210884770057415,2,solid1_2_moderate_risk,official_mid_0p3_0p6,0.24420305,0.22419974
10,45.0,94.0,0.10000001,0.33423322,23.423321,23.423321,0.02181596805746049,0,solid0_low_risk,official_low_lt_0p3,0.38294526,0.34688876
27,-39.0,16.0,0.48,0.70213129,22.213129,22.213129,0.019619910693341264,4,solid3_4_high_risk,official_mid_0p3_0p6,0.52420341,0.38750754
51,-24.5,-19.5,0.69,0.48050311,-20.949688999999992,20.949688999999992,0.01745149789379535,0,solid0_low_risk,official_high_ge_0p6,0.46547702,0.46373278
16,-47.5,36.5,0.38,0.17082853,-20.917147,20.917147,0.017397323765647725,0,solid0_low_risk,official_mid_0p3_0p6,0.20113961,0.16327714
80,125.0,-49.5,0.54000004,0.33453459,-20.546545,20.546545,0.016786306788519903,0,solid0_low_risk,official_mid_0p3_0p6,0.32886742,0.3732359
17,-25.0,47.0,0.2,0.40234054,20.234054,20.234054,0.01627958606849325,0,solid0_low_risk,official_low_lt_0p3,0.4253413,0.40234054
58,63.0,0.5,0.85,0.64889783,-20.110217,20.110217,0.016080926337218415,4,solid3_4_high_risk,official_high_ge_0p6,0.43336246,0.26628282
54,-20.0,-30.5,0.58999996,0.3923532,-19.764675999999998,19.764675999999998,0.015533057415796315,0,solid0_low_risk,official_mid_0p3_0p6,0.37112224,0.34102596
9,7.0,76.5,0.12,0.31241395,19.241395,19.241395,0.01472145240108642,0,solid0_low_risk,official_low_lt_0p3,0.25501761,0.31445697
69,26.0,-43.0,0.24,0.4280635,18.80635,18.80635,0.014063278506556367,0,solid0_low_risk,official_low_lt_0p3,0.42690896,0.4680453
37,-55.5,-23.0,0.48,0.31868977,-16.131023,16.131023,0.01034668838813436,0,solid0_low_risk,official_mid_0p3_0p6,0.31458792,0.33245867
53,-24.5,-38.0,0.57,0.41582159,-15.417840999999994,15.417840999999994,0.009452020915143132,4,solid3_4_high_risk,official_mid_0p3_0p6,0.38627133,0.25630899
65,-83.0,-94.0,0.30000002,0.45063378,15.063376,15.063376,0.009022402181377252,0,solid0_low_risk,official_mid_0p3_0p6,0.42548417,0.63142785
1,-27.0,112.0,0.18,0.32396099,14.396099000000001,14.396099000000001,0.008240758705384038,4,solid3_4_high_risk,official_low_lt_0p3,0.20444211,0.11359632
19,13.5,64.5,0.32,0.46387013,14.387012999999998,14.387012999999998,0.00823035979037169,4,solid3_4_high_risk,official_mid_0p3_0p6,0.43800838,0.36836988
23,-90.5,8.0,0.54000004,0.39913078,-14.086926,14.086926,0.007890599764595694,2,solid1_2_moderate_risk,official_mid_0p3_0p6,0.39158984,0.28243753
67,-10.0,-59.5,0.5,0.36071738,-13.928262000000002,13.928262000000002,0.007713853807355724,0,solid0_low_risk,official_mid_0p3_0p6,0.37550828,0.31944315
40,6.5,4.5,0.38,0.24153687,-13.846313000000002,13.846313000000002,0.0076233496291369576,0,solid0_low_risk,official_mid_0p3_0p6,0.24719781,0.25987275
66,-49.5,-78.5,0.32,0.45547262,13.547261999999998,13.547261999999998,0.007297609307149304,2,solid1_2_moderate_risk,official_mid_0p3_0p6,0.45643568,0.45514268
72,82.0,-17.5,0.38,0.24611657,-13.388342999999999,13.388342999999999,0.007127401252916591,0,solid0_low_risk,official_mid_0p3_0p6,0.24692429,0.27254117
61,31.0,0.0,0.54000004,0.40669603,-13.330401000000002,13.330401000000002,0.007065842888901734,4,solid3_4_high_risk,official_mid_0p3_0p6,0.44592701,0.17364419
32,65.5,74.5,0.54000004,0.67230462,13.230458,13.230458,0.0069602895327270905,4,solid3_4_high_risk,official_mid_0p3_0p6,0.48365685,0.27458295
42,53.0,26.0,0.44,0.31078124,-12.921876,12.921876,0.006639397752673749,2,solid1_2_moderate_risk,official_mid_0p3_0p6,0.27322997,0.26016086
35,-86.5,-35.5,0.5,0.3807173,-11.928270000000001,11.928270000000001,0.005657603017725847,0,solid0_low_risk,official_mid_0p3_0p6,0.36564473,0.44504531
3,-88.0,35.0,0.38,0.26600871,-11.399129000000002,11.399129000000002,0.005166790895805883,0,solid0_low_risk,official_mid_0p3_0p6,0.25568368,0.28321054
64,100.5,3.5,0.44,0.32604118,-11.395882000000002,11.395882000000002,0.005163847832232073,0,solid0_low_risk,official_mid_0p3_0p6,0.35704373,0.32144881
4,-74.0,40.0,0.32,0.21849016,-10.150984000000001,10.150984000000001,0.0040972629375524185,2,solid1_2_moderate_risk,official_mid_0p3_0p6,0.19569994,0.13702681
22,-114.5,-8.0,0.58999996,0.49312883,-9.687112999999997,9.687112999999997,0.003731352514524604,0,solid0_low_risk,official_mid_0p3_0p6,0.48715351,0.42504433
25,-51.0,22.0,0.52,0.42484442,-9.515558000000002,9.515558000000002,0.003600361178969268,0,solid0_low_risk,official_mid_0p3_0p6,0.44796091,0.35870674
11,80.5,110.0,0.55,0.64514633,9.514632999999995,9.514632999999995,0.0035996612363655913,0,solid0_low_risk,official_mid_0p3_0p6,0.63215936,0.71200761
8,-9.5,69.0,0.14,0.23041175,9.041174999999999,9.041174999999999,0.0032503288279022453,0,solid0_low_risk,official_low_lt_0p3,0.24919781,0.21085053
20,50.0,81.5,0.2,0.28940115,8.940114999999999,8.940114999999999,0.003178072200315461,0,solid0_low_risk,official_low_lt_0p3,0.23600148,0.22274519
36,-75.0,-31.5,0.32,0.404711,8.471099999999998,8.471099999999998,0.002853363922969252,0,solid0_low_risk,official_mid_0p3_0p6,0.40390495,0.43993904
18,-5.0,56.0,0.28,0.36101167,8.101166999999998,8.101166999999998,0.002609592638947178,0,solid0_low_risk,official_low_lt_0p3,0.316851,0.3667647
63,92.5,20.0,0.4,0.48094832,8.094831999999997,8.094831999999997,0.00260551290437047,0,solid0_low_risk,official_mid_0p3_0p6,0.58570651,0.41460978
33,73.5,56.5,0.52,0.43907241,-8.092759,8.092759,0.002604178587203091,0,solid0_low_risk,official_mid_0p3_0p6,0.54813018,0.44237685
5,-61.0,45.5,0.30000002,0.37829515,7.829513000000005,7.829513000000005,0.0024375136019219195,0,solid0_low_risk,official_mid_0p3_0p6,0.50351589,0.44512374
45,120.5,56.5,0.2,0.27609705,7.609705,7.609705,0.0023025718504096197,0,solid0_low_risk,official_low_lt_0p3,0.30324567,0.26656769
31,6.5,52.0,0.44,0.36505453,-7.494547000000002,7.494547000000002,0.002233409318236217,0,solid0_low_risk,official_mid_0p3_0p6,0.38064743,0.52801684
70,46.5,-33.5,0.34,0.40846464,6.8464639999999966,6.8464639999999966,0.0018638467749460385,0,solid0_low_risk,official_mid_0p3_0p6,0.40685327,0.48336138
49,-59.5,-51.5,0.30000002,0.23166037,-6.833964999999997,6.833964999999997,0.001857047657653523,2,solid1_2_moderate_risk,official_mid_0p3_0p6,0.24161536,0.29566826
21,87.0,97.5,0.4,0.33318834,-6.681165999999999,6.681165999999999,0.0017749334473984519,0,solid0_low_risk,official_mid_0p3_0p6,0.37170372,0.33268693
59,50.5,-22.5,0.42,0.35523555,-6.476444999999997,6.476444999999997,0.0016678266618692396,0,solid0_low_risk,official_mid_0p3_0p6,0.35389116,0.36793825
26,-46.5,11.0,0.55,0.48837213,-6.162787000000003,6.162787000000003,0.001510190953279358,0,solid0_low_risk,official_mid_0p3_0p6,0.5656446,0.51492668
50,-45.5,-45.0,0.26,0.20318699,-5.6813009999999995,5.6813009999999995,0.0012834328383136476,6,solid3_4_high_risk,official_low_lt_0p3,0.21457719,0.08183114
77,5.0,-94.0,0.46,0.40661288,-5.338712000000001,5.338712000000001,0.0011333147345479705,0,solid0_low_risk,official_mid_0p3_0p6,0.55368338,0.20712118
43,67.5,32.5,0.30000002,0.34914622,4.914620000000003,4.914620000000003,0.0009604116867367165,0,solid0_low_risk,official_mid_0p3_0p6,0.38584199,0.350177
34,-117.5,-32.0,0.32,0.36778309,4.7783089999999975,4.7783089999999975,0.000907874902743066,0,solid0_low_risk,official_mid_0p3_0p6,0.38981806,0.37856999
7,-33.5,57.5,0.26,0.30687848,4.687848,4.687848,0.0008738252539875579,0,solid0_low_risk,official_low_lt_0p3,0.31265363,0.31107058
55,-11.0,-50.0,0.38,0.33485127,-4.514873000000002,4.514873000000002,0.0008105291260059203,0,solid0_low_risk,official_mid_0p3_0p6,0.33279988,0.41895621
6,-50.5,49.5,0.34,0.29518068,-4.481932000000005,4.481932000000005,0.0007987448573390155,2,solid1_2_moderate_risk,official_mid_0p3_0p6,0.32957625,0.18624704
75,109.0,-17.5,0.63,0.58637472,-4.362527999999999,4.362527999999999,0.0007567527425762569,0,solid0_low_risk,official_high_ge_0p6,0.61021327,0.5899452
29,-32.0,0.0,0.61,0.65140566,4.1405660000000015,4.1405660000000015,0.0006817057732887429,4,solid3_4_high_risk,official_high_ge_0p6,0.47265695,0.19059295
30,-39.0,-11.0,0.69,0.65414129,-3.585870999999996,3.585870999999996,0.0005112894984565593,0,solid0_low_risk,official_high_ge_0p6,0.70678587,0.65414129
39,-9.0,-2.5,0.26,0.2923943,3.2394299999999987,3.2394299999999987,0.00041726768118282616,2,solid1_2_moderate_risk,official_low_lt_0p3,0.24547033,0.28799374
41,29.5,15.0,0.46,0.42927923,-3.072077000000001,3.072077000000001,0.00037526818129974724,0,solid0_low_risk,official_mid_0p3_0p6,0.48584486,0.45166322
47,-96.5,-59.5,0.2,0.16986416,-3.0135840000000025,3.0135840000000025,0.00036111385506058216,4,solid3_4_high_risk,official_low_lt_0p3,0.17435002,0.03183662
14,-84.0,22.5,0.46,0.48515689,2.5156889999999987,2.5156889999999987,0.0002516468221138283,0,solid0_low_risk,official_mid_0p3_0p6,0.44727149,0.4439621
