check,passed
generator_exists,True
residual_target_cli_default_off,True
residual_target_scale_default_zero,True
setup_contains_pre_registered_channel_response,True
setup_uses_coordinate_regions_not_probe_residuals,True
manifest_records_c016_claim_boundary,True
manifest_blocks_default_accuracy_promotion,True
leakage_guard_passed,True
candidate_no_longer_blocks_on_missing_implementation,True
candidate_command_uses_residual_target,True
runbook_no_longer_uses_c016_todo,True
runbook_command_uses_residual_target,True
