check,passed
generator_exists,True
inlet_mode_cli_default_off,True
inlet_scale_default_zero,True
setup_reads_af_u_and_k,True
setup_contains_fullplane_inlet_reapplication,True
setup_reapplies_inlet_each_sample_window,True
setup_uses_official_raw_probe_csv,True
manifest_records_inlet_mode,True
manifest_blocks_formal_claim,True
candidate_no_longer_requires_inlet_implementation,True
candidate_command_uses_inlet_followup,True
runbook_no_longer_uses_inlet_placeholder_todo,True
runbook_command_uses_inlet_followup,True
