No.,x_m,y_m,z_m,official_velocity_ratio,predicted_velocity_ratio,speed_lbm,solid_corner_neighbors_max,nearest_valid_velocity_ratio,fluid_weighted_velocity_ratio,vertical_valid_above_velocity_ratio,z_plus_half_velocity_ratio,fluid_weighted_solid_neighbors_max,nearest_valid_search_radius_max,vertical_valid_above_dz_max,samples
1,-27.000000,112.000000,2.000000,0.18000000,0.20830754,0.00839276,3,0.25180474,0.27774339,0.25180474,0.26750707,3,0,0,19
2,-93.000000,33.000000,2.000000,0.58999996,0.32874972,0.01324540,0,0.31055077,0.32874972,0.31055077,0.31055077,0,0,0,19
3,-88.000000,35.000000,2.000000,0.38000000,0.27719049,0.01116806,0,0.28499560,0.27719049,0.28499560,0.28872637,0,0,0,19
4,-74.000000,40.000000,2.000000,0.32000000,0.03532374,0.00142320,2,0.12039875,0.04709832,0.12039875,0.07878813,2,0,0,19
5,-61.000000,45.500000,2.000000,0.30000002,0.16671328,0.00671691,2,0.25092696,0.19052946,0.25092696,0.25752477,2,0,0,19
6,-50.500000,49.500000,2.000000,0.34000000,0.11874212,0.00478415,2,0.12252457,0.18998739,0.12252457,0.16043363,2,0,0,19
7,-33.500000,57.500000,2.000000,0.26000000,0.25316522,0.01020008,0,0.24507491,0.25316522,0.24507491,0.25238754,0,0,0,19
8,-9.500000,69.000000,2.000000,0.14000000,0.04925373,0.00198444,4,0.10450282,0.09850746,0.10450282,0.09850746,4,0,0,19
9,7.000000,76.500000,2.000000,0.12000000,0.08338691,0.00335968,2,0.11851407,0.13341905,0.11851407,0.11870063,2,0,0,19
10,45.000000,94.000000,2.000000,0.10000001,0.31200519,0.01257076,0,0.36531420,0.31200519,0.36531420,0.29544359,0,0,0,19
11,80.500000,110.000000,2.000000,0.55000000,0.22062139,0.00888888,2,0.35150506,0.29416184,0.35150506,0.31126707,2,0,0,19
12,-133.000000,21.000000,2.000000,0.30000002,0.26577730,0.01070822,0,0.25973472,0.26577730,0.25973472,0.25973472,0,0,0,19
13,-97.000000,19.000000,2.000000,0.58999996,0.11199946,0.00451248,2,0.22399892,0.22399892,0.22399892,0.22399892,2,0,0,19
14,-84.000000,22.500000,2.000000,0.46000000,0.37454433,0.01509047,0,0.40449989,0.37454433,0.40449989,0.37281178,0,0,0,19
15,-65.500000,29.500000,2.000000,0.40000000,0.38406900,0.01547422,0,0.42553395,0.38406900,0.42553395,0.41770419,0,0,0,19
16,-47.500000,36.500000,2.000000,0.38000000,0.23438932,0.00944360,0,0.27228732,0.23438932,0.27228732,0.24373539,0,0,0,19
17,-25.000000,47.000000,2.000000,0.20000000,0.09064137,0.00365196,4,0.18128273,0.18128273,0.18128273,0.18128273,4,0,0,19
18,-5.000000,56.000000,2.000000,0.28000000,0.16247229,0.00654604,2,0.23818762,0.21662971,0.23818762,0.18586152,2,0,0,19
19,13.500000,64.500000,2.000000,0.32000000,0.03496582,0.00140878,4,0.07230555,0.06993165,0.07230555,0.05570993,4,0,0,19
20,50.000000,81.500000,2.000000,0.20000000,0.18146655,0.00731133,2,0.21985553,0.20739034,0.21985553,0.20073174,2,0,0,19
21,87.000000,97.500000,2.000000,0.40000000,0.26517390,0.01068391,0,0.31638913,0.26517390,0.31638913,0.32309349,0,0,0,19
22,-114.500000,-8.000000,2.000000,0.58999996,0.16242976,0.00654433,2,0.20703707,0.21657301,0.20703707,0.29046717,2,0,0,19
23,-90.500000,8.000000,2.000000,0.54000004,0.15774745,0.00635568,2,0.23967195,0.21032994,0.23967195,0.23727726,2,0,0,19
24,-56.000000,33.000000,2.000000,0.46000000,0.19116407,0.00770204,0,0.19672022,0.19116407,0.19672022,0.19875002,0,0,0,19
25,-51.000000,22.000000,2.000000,0.52000000,0.38581118,0.01554442,0,0.42584889,0.38581118,0.42584889,0.40188512,0,0,0,19
26,-46.500000,11.000000,2.000000,0.55000000,0.35554295,0.01432490,0,0.37216610,0.35554295,0.37216610,0.37434675,0,0,0,19
27,-39.000000,16.000000,2.000000,0.48000000,0.19027389,0.00766618,2,0.15827181,0.25369852,0.15827181,0.24246039,2,0,0,19
28,-39.500000,-4.000000,2.000000,0.71000000,0.39362757,0.01585934,0,0.48751537,0.39362757,0.48751537,0.38216641,0,0,0,19
29,-32.000000,0.000000,2.000000,0.61000000,0.54752525,0.02205991,0,0.56847404,0.54752525,0.56847404,0.55303798,0,0,0,19
30,-39.000000,-11.000000,2.000000,0.69000000,0.18938433,0.00763034,2,0.22265927,0.18938433,0.22265927,0.22265927,2,0,0,19
31,6.500000,52.000000,2.000000,0.44000000,0.09889764,0.00398461,4,0.21251585,0.19779528,0.21251585,0.19779528,4,0,0,19
32,65.500000,74.500000,2.000000,0.54000004,0.20961041,0.00844525,2,0.31749330,0.23955475,0.31749330,0.29270214,2,0,0,19
33,73.500000,56.500000,2.000000,0.52000000,0.52939261,0.02132934,0,0.71291572,0.52939261,0.71291572,0.65077595,0,0,0,19
34,-117.500000,-32.000000,2.000000,0.32000000,0.43110631,0.01736937,0,0.48473555,0.43110631,0.48473555,0.44318628,0,0,0,19
35,-86.500000,-35.500000,2.000000,0.50000000,0.39907543,0.01607883,0,0.39129176,0.39907543,0.39129176,0.37912855,0,0,0,19
36,-75.000000,-31.500000,2.000000,0.32000000,0.42693671,0.01720137,0,0.46013776,0.42693671,0.46013776,0.45016725,0,0,0,19
37,-55.500000,-23.000000,2.000000,0.48000000,0.31255821,0.01259304,0,0.31472952,0.31255821,0.31472952,0.31920250,0,0,0,19
38,-26.000000,-10.000000,2.000000,0.61000000,0.11995387,0.00483297,2,0.13615405,0.15993849,0.13615405,0.15605905,2,0,0,19
39,-9.000000,-2.500000,2.000000,0.26000000,0.36592446,0.01474317,2,0.49460662,0.41819939,0.49460662,0.44105434,2,0,0,19
40,6.500000,4.500000,2.000000,0.38000000,0.07938853,0.00319858,4,0.20812022,0.15877706,0.20812022,0.15877706,4,0,0,19
41,29.500000,15.000000,2.000000,0.46000000,0.10755455,0.00433340,2,0.09491921,0.10755455,0.09491921,0.09479838,2,0,0,19
42,53.000000,26.000000,2.000000,0.44000000,0.11130642,0.00448456,2,0.08354727,0.14840856,0.08354727,0.12294797,2,0,0,19
43,67.500000,32.500000,2.000000,0.30000002,0.15731760,0.00633836,2,0.12577115,0.17979154,0.12577115,0.11613638,2,0,0,19
44,83.000000,39.000000,2.000000,0.46000000,0.21231887,0.00855437,2,0.29170162,0.21231887,0.29170162,0.29170162,2,0,0,19
45,120.500000,56.500000,2.000000,0.20000000,0.27860525,0.01122507,0,0.25683987,0.27860525,0.25683987,0.30549926,0,0,0,19
46,-121.000000,-56.500000,2.000000,0.18000000,0.35965863,0.01449072,2,0.71216895,0.71931727,0.26256740,0.00000000,2,1,3,19
47,-96.500000,-59.500000,2.000000,0.20000000,0.00147794,0.00005955,4,0.00321626,0.00197059,0.00321626,0.00225340,4,0,0,19
48,-77.000000,-59.000000,2.000000,0.36000000,0.33662600,0.01356273,2,0.33424815,0.33662600,0.33424815,0.33424815,2,0,0,19
49,-59.500000,-51.500000,2.000000,0.30000002,0.26429585,0.01064854,2,0.21549027,0.32528720,0.21549027,0.21403905,2,0,0,19
50,-45.500000,-45.000000,2.000000,0.26000000,0.02155509,0.00086846,3,0.01644834,0.02463439,0.01644834,0.01233626,3,0,0,19
51,-24.500000,-19.500000,2.000000,0.69000000,0.26060797,0.01049995,2,0.38154358,0.29783768,0.38154358,0.34450719,2,0,0,19
52,-31.000000,-23.500000,2.000000,0.63000000,0.09783202,0.00394167,2,0.16167476,0.15653124,0.16167476,0.15584207,2,0,0,19
53,-24.500000,-38.000000,2.000000,0.57000000,0.16324099,0.00657701,2,0.17073546,0.21765465,0.17073546,0.22476794,2,0,0,19
54,-20.000000,-30.500000,2.000000,0.58999996,0.04225041,0.00170228,4,0.13124056,0.08450082,0.13124056,0.08450082,4,0,0,19
55,-11.000000,-50.000000,2.000000,0.38000000,0.29619185,0.01193363,2,0.52145172,0.39492247,0.52145172,0.38173095,2,0,0,19
56,38.000000,5.500000,2.000000,0.67000000,0.20379514,0.00821095,2,0.20628151,0.23290872,0.20628151,0.24072704,2,0,0,19
57,74.000000,22.000000,2.000000,0.34000000,0.38460754,0.01549592,0,0.50075442,0.38460754,0.50075442,0.38957027,0,0,0,19
58,63.000000,0.500000,2.000000,0.85000000,0.10843476,0.00436886,4,0.19944619,0.21686952,0.19944619,0.21686952,4,0,0,19
59,50.500000,-22.500000,2.000000,0.42000000,0.13367753,0.00538590,2,0.08787585,0.15277432,0.08787585,0.09518457,2,0,0,19
60,88.500000,-6.000000,2.000000,0.73000000,0.39983383,0.01610939,0,0.43231957,0.39983383,0.43231957,0.39092710,0,0,0,19
61,31.000000,0.000000,2.000000,0.54000004,0.01660191,0.00066889,4,0.06529572,0.03320383,0.06529572,0.03264786,4,0,0,19
62,39.500000,-20.000000,2.000000,0.69000000,0.02344557,0.00094463,4,0.05299509,0.04689113,0.05299509,0.03608881,4,0,0,19
63,92.500000,20.000000,2.000000,0.40000000,0.25829743,0.01040686,2,0.42552106,0.34439657,0.42552106,0.36390127,2,0,0,19
64,100.500000,3.500000,2.000000,0.44000000,0.33534344,0.01351106,0,0.43344954,0.33534344,0.43344954,0.41898637,0,0,0,19
65,-83.000000,-94.000000,2.000000,0.30000002,0.05556118,0.00223857,4,0.12432481,0.11112236,0.12432481,0.11112236,4,0,0,19
66,-49.500000,-78.500000,2.000000,0.32000000,0.01333601,0.00053731,4,0.05396335,0.02667202,0.05396335,0.02013561,4,0,0,19
67,-10.000000,-59.500000,2.000000,0.50000000,0.46313159,0.01865967,0,0.42547334,0.46313159,0.42547334,0.44878895,0,0,0,19
68,1.000000,-54.000000,2.000000,0.28000000,0.06487847,0.00261397,4,0.14403348,0.12975695,0.14403348,0.12975695,4,0,0,19
69,26.000000,-43.000000,2.000000,0.24000000,0.45190441,0.01820733,2,0.52781713,0.45190441,0.52781713,0.50987395,2,0,0,19
70,46.500000,-33.500000,2.000000,0.34000000,0.05388631,0.00217109,4,0.15025360,0.10777262,0.15025360,0.10777262,4,0,0,19
71,66.500000,-24.500000,2.000000,0.50000000,0.11426207,0.00460364,2,0.20710881,0.18281930,0.20710881,0.20607841,2,0,0,19
72,82.000000,-17.500000,2.000000,0.38000000,0.10422745,0.00419935,4,0.22512518,0.20845490,0.22512518,0.20845490,4,0,0,19
73,98.500000,-9.500000,2.000000,0.52000000,0.15903324,0.00640748,2,0.17074464,0.18175227,0.17074464,0.13449563,2,0,0,19
74,56.500000,-54.500000,2.000000,0.26000000,0.01482290,0.00059722,2,0.01035188,0.02371664,0.01035188,0.00665723,2,0,0,19
75,109.000000,-17.500000,2.000000,0.63000000,0.11573894,0.00466315,4,0.22914769,0.23147787,0.22914769,0.23147787,4,0,0,19
76,116.000000,-30.500000,2.000000,0.50000000,0.16870707,0.00679724,2,0.28633729,0.26993131,0.28633729,0.27862052,2,0,0,19
77,5.000000,-94.000000,2.000000,0.46000000,0.13460228,0.00542315,2,0.11688687,0.17946970,0.11688687,0.15202710,2,0,0,19
78,45.500000,-86.500000,2.000000,0.28000000,0.25992782,0.01047255,2,0.34801410,0.29706036,0.34801410,0.30014270,2,0,0,19
79,81.500000,-69.500000,2.000000,0.32000000,0.48693445,0.01961869,0,0.55570067,0.48693445,0.55570067,0.48182270,0,0,0,19
80,125.000000,-49.500000,2.000000,0.54000004,0.19215115,0.00774181,2,0.28034581,0.21960131,0.28034581,0.28308301,2,0,0,19
