No.,x_m,y_m,z_m,official_velocity_ratio,predicted_velocity_ratio,speed_lbm,solid_corner_neighbors_max,samples
1,-27.000000,112.000000,2.000000,0.18000000,0.20830754,0.00839276,3,19
2,-93.000000,33.000000,2.000000,0.58999996,0.32874972,0.01324540,0,19
3,-88.000000,35.000000,2.000000,0.38000000,0.27719049,0.01116806,0,19
4,-74.000000,40.000000,2.000000,0.32000000,0.03532374,0.00142320,2,19
5,-61.000000,45.500000,2.000000,0.30000002,0.16671328,0.00671691,2,19
6,-50.500000,49.500000,2.000000,0.34000000,0.11874212,0.00478415,2,19
7,-33.500000,57.500000,2.000000,0.26000000,0.25316522,0.01020008,0,19
8,-9.500000,69.000000,2.000000,0.14000000,0.04925373,0.00198444,4,19
9,7.000000,76.500000,2.000000,0.12000000,0.08338691,0.00335968,2,19
10,45.000000,94.000000,2.000000,0.10000001,0.31200519,0.01257076,0,19
11,80.500000,110.000000,2.000000,0.55000000,0.22062139,0.00888888,2,19
12,-133.000000,21.000000,2.000000,0.30000002,0.26577730,0.01070822,0,19
13,-97.000000,19.000000,2.000000,0.58999996,0.11199946,0.00451248,2,19
14,-84.000000,22.500000,2.000000,0.46000000,0.37454433,0.01509047,0,19
15,-65.500000,29.500000,2.000000,0.40000000,0.38406900,0.01547422,0,19
16,-47.500000,36.500000,2.000000,0.38000000,0.23438932,0.00944360,0,19
17,-25.000000,47.000000,2.000000,0.20000000,0.09064137,0.00365196,4,19
18,-5.000000,56.000000,2.000000,0.28000000,0.16247229,0.00654604,2,19
19,13.500000,64.500000,2.000000,0.32000000,0.03496582,0.00140878,4,19
20,50.000000,81.500000,2.000000,0.20000000,0.18146655,0.00731133,2,19
21,87.000000,97.500000,2.000000,0.40000000,0.26517390,0.01068391,0,19
22,-114.500000,-8.000000,2.000000,0.58999996,0.16242976,0.00654433,2,19
23,-90.500000,8.000000,2.000000,0.54000004,0.15774745,0.00635568,2,19
24,-56.000000,33.000000,2.000000,0.46000000,0.19116407,0.00770204,0,19
25,-51.000000,22.000000,2.000000,0.52000000,0.38581118,0.01554442,0,19
26,-46.500000,11.000000,2.000000,0.55000000,0.35554295,0.01432490,0,19
27,-39.000000,16.000000,2.000000,0.48000000,0.19027389,0.00766618,2,19
28,-39.500000,-4.000000,2.000000,0.71000000,0.39362757,0.01585934,0,19
29,-32.000000,0.000000,2.000000,0.61000000,0.54752525,0.02205991,0,19
30,-39.000000,-11.000000,2.000000,0.69000000,0.18938433,0.00763034,2,19
31,6.500000,52.000000,2.000000,0.44000000,0.09889764,0.00398461,4,19
32,65.500000,74.500000,2.000000,0.54000004,0.20961041,0.00844525,2,19
33,73.500000,56.500000,2.000000,0.52000000,0.52939261,0.02132934,0,19
34,-117.500000,-32.000000,2.000000,0.32000000,0.43110631,0.01736937,0,19
35,-86.500000,-35.500000,2.000000,0.50000000,0.39907543,0.01607883,0,19
36,-75.000000,-31.500000,2.000000,0.32000000,0.42693671,0.01720137,0,19
37,-55.500000,-23.000000,2.000000,0.48000000,0.31255821,0.01259304,0,19
38,-26.000000,-10.000000,2.000000,0.61000000,0.11995387,0.00483297,2,19
39,-9.000000,-2.500000,2.000000,0.26000000,0.36592446,0.01474317,2,19
40,6.500000,4.500000,2.000000,0.38000000,0.07938853,0.00319858,4,19
41,29.500000,15.000000,2.000000,0.46000000,0.10755455,0.00433340,2,19
42,53.000000,26.000000,2.000000,0.44000000,0.11130642,0.00448456,2,19
43,67.500000,32.500000,2.000000,0.30000002,0.15731760,0.00633836,2,19
44,83.000000,39.000000,2.000000,0.46000000,0.21231887,0.00855437,2,19
45,120.500000,56.500000,2.000000,0.20000000,0.27860525,0.01122507,0,19
46,-121.000000,-56.500000,2.000000,0.18000000,0.35965863,0.01449072,2,19
47,-96.500000,-59.500000,2.000000,0.20000000,0.00147794,0.00005955,4,19
48,-77.000000,-59.000000,2.000000,0.36000000,0.33662600,0.01356273,2,19
49,-59.500000,-51.500000,2.000000,0.30000002,0.26429585,0.01064854,2,19
50,-45.500000,-45.000000,2.000000,0.26000000,0.02155509,0.00086846,3,19
51,-24.500000,-19.500000,2.000000,0.69000000,0.26060797,0.01049995,2,19
52,-31.000000,-23.500000,2.000000,0.63000000,0.09783202,0.00394167,2,19
53,-24.500000,-38.000000,2.000000,0.57000000,0.16324099,0.00657701,2,19
54,-20.000000,-30.500000,2.000000,0.58999996,0.04225041,0.00170228,4,19
55,-11.000000,-50.000000,2.000000,0.38000000,0.29619185,0.01193363,2,19
56,38.000000,5.500000,2.000000,0.67000000,0.20379514,0.00821095,2,19
57,74.000000,22.000000,2.000000,0.34000000,0.38460754,0.01549592,0,19
58,63.000000,0.500000,2.000000,0.85000000,0.10843476,0.00436886,4,19
59,50.500000,-22.500000,2.000000,0.42000000,0.13367753,0.00538590,2,19
60,88.500000,-6.000000,2.000000,0.73000000,0.39983383,0.01610939,0,19
61,31.000000,0.000000,2.000000,0.54000004,0.01660191,0.00066889,4,19
62,39.500000,-20.000000,2.000000,0.69000000,0.02344557,0.00094463,4,19
63,92.500000,20.000000,2.000000,0.40000000,0.25829743,0.01040686,2,19
64,100.500000,3.500000,2.000000,0.44000000,0.33534344,0.01351106,0,19
65,-83.000000,-94.000000,2.000000,0.30000002,0.05556118,0.00223857,4,19
66,-49.500000,-78.500000,2.000000,0.32000000,0.01333601,0.00053731,4,19
67,-10.000000,-59.500000,2.000000,0.50000000,0.46313159,0.01865967,0,19
68,1.000000,-54.000000,2.000000,0.28000000,0.06487847,0.00261397,4,19
69,26.000000,-43.000000,2.000000,0.24000000,0.45190441,0.01820733,2,19
70,46.500000,-33.500000,2.000000,0.34000000,0.05388631,0.00217109,4,19
71,66.500000,-24.500000,2.000000,0.50000000,0.11426207,0.00460364,2,19
72,82.000000,-17.500000,2.000000,0.38000000,0.10422745,0.00419935,4,19
73,98.500000,-9.500000,2.000000,0.52000000,0.15903324,0.00640748,2,19
74,56.500000,-54.500000,2.000000,0.26000000,0.01482290,0.00059722,2,19
75,109.000000,-17.500000,2.000000,0.63000000,0.11573894,0.00466315,4,19
76,116.000000,-30.500000,2.000000,0.50000000,0.16870707,0.00679724,2,19
77,5.000000,-94.000000,2.000000,0.46000000,0.13460228,0.00542315,2,19
78,45.500000,-86.500000,2.000000,0.28000000,0.25992782,0.01047255,2,19
79,81.500000,-69.500000,2.000000,0.32000000,0.48693445,0.01961869,0,19
80,125.000000,-49.500000,2.000000,0.54000004,0.19215115,0.00774181,2,19
