No.,x_m,y_m,z_m,official_velocity_ratio,predicted_velocity_ratio,speed_lbm,solid_corner_neighbors_max,samples
1,-27.000000,112.000000,2.000000,0.18000000,0.10785845,0.00434564,3,19
2,-93.000000,33.000000,2.000000,0.58999996,0.26836637,0.01081254,0,19
3,-88.000000,35.000000,2.000000,0.38000000,0.26593261,0.01071448,0,19
4,-74.000000,40.000000,2.000000,0.32000000,0.06524826,0.00262887,2,19
5,-61.000000,45.500000,2.000000,0.30000002,0.09778983,0.00393997,2,19
6,-50.500000,49.500000,2.000000,0.34000000,0.08297790,0.00334320,2,19
7,-33.500000,57.500000,2.000000,0.26000000,0.21132039,0.00851414,0,19
8,-9.500000,69.000000,2.000000,0.14000000,0.00329508,0.00013276,4,19
9,7.000000,76.500000,2.000000,0.12000000,0.05636810,0.00227108,2,19
10,45.000000,94.000000,2.000000,0.10000001,0.23912071,0.00963422,0,19
11,80.500000,110.000000,2.000000,0.55000000,0.10831194,0.00436391,2,19
12,-133.000000,21.000000,2.000000,0.30000002,0.15834917,0.00637992,0,19
13,-97.000000,19.000000,2.000000,0.58999996,0.05622479,0.00226531,2,19
14,-84.000000,22.500000,2.000000,0.46000000,0.22487565,0.00906029,0,19
15,-65.500000,29.500000,2.000000,0.40000000,0.24849478,0.01001191,0,19
16,-47.500000,36.500000,2.000000,0.38000000,0.26039896,0.01049153,0,19
17,-25.000000,47.000000,2.000000,0.20000000,0.06066402,0.00244417,4,19
18,-5.000000,56.000000,2.000000,0.28000000,0.13072929,0.00526711,2,19
19,13.500000,64.500000,2.000000,0.32000000,0.01878569,0.00075688,4,19
20,50.000000,81.500000,2.000000,0.20000000,0.13665389,0.00550581,2,19
21,87.000000,97.500000,2.000000,0.40000000,0.19650876,0.00791738,0,19
22,-114.500000,-8.000000,2.000000,0.58999996,0.07156323,0.00288330,2,19
23,-90.500000,8.000000,2.000000,0.54000004,0.09402122,0.00378813,2,19
24,-56.000000,33.000000,2.000000,0.46000000,0.23815812,0.00959544,0,19
25,-51.000000,22.000000,2.000000,0.52000000,0.27748626,0.01117998,0,19
26,-46.500000,11.000000,2.000000,0.55000000,0.23931671,0.00964212,0,19
27,-39.000000,16.000000,2.000000,0.48000000,0.15041113,0.00606010,2,19
28,-39.500000,-4.000000,2.000000,0.71000000,0.30447085,0.01226720,0,19
29,-32.000000,0.000000,2.000000,0.61000000,0.35583857,0.01433681,0,19
30,-39.000000,-11.000000,2.000000,0.69000000,0.12256695,0.00493825,2,19
31,6.500000,52.000000,2.000000,0.44000000,0.03901997,0.00157212,4,19
32,65.500000,74.500000,2.000000,0.54000004,0.11698050,0.00471317,2,19
33,73.500000,56.500000,2.000000,0.52000000,0.36586163,0.01474064,0,19
34,-117.500000,-32.000000,2.000000,0.32000000,0.30262306,0.01219275,0,19
35,-86.500000,-35.500000,2.000000,0.50000000,0.29859183,0.01203033,0,19
36,-75.000000,-31.500000,2.000000,0.32000000,0.35474980,0.01429295,0,19
37,-55.500000,-23.000000,2.000000,0.48000000,0.27337758,0.01101444,0,19
38,-26.000000,-10.000000,2.000000,0.61000000,0.10088193,0.00406455,2,19
39,-9.000000,-2.500000,2.000000,0.26000000,0.22610984,0.00911001,2,19
40,6.500000,4.500000,2.000000,0.38000000,0.05783970,0.00233037,4,19
41,29.500000,15.000000,2.000000,0.46000000,0.10650406,0.00429107,2,19
42,53.000000,26.000000,2.000000,0.44000000,0.11255260,0.00453477,2,19
43,67.500000,32.500000,2.000000,0.30000002,0.12104951,0.00487711,2,19
44,83.000000,39.000000,2.000000,0.46000000,0.12897668,0.00519650,2,19
45,120.500000,56.500000,2.000000,0.20000000,0.28505128,0.01148478,0,19
46,-121.000000,-56.500000,2.000000,0.18000000,0.16510491,0.00665211,2,19
47,-96.500000,-59.500000,2.000000,0.20000000,0.02339944,0.00094277,4,19
48,-77.000000,-59.000000,2.000000,0.36000000,0.25158459,0.01013640,2,19
49,-59.500000,-51.500000,2.000000,0.30000002,0.17490408,0.00704692,2,19
50,-45.500000,-45.000000,2.000000,0.26000000,0.05657222,0.00227931,3,19
51,-24.500000,-19.500000,2.000000,0.69000000,0.16340159,0.00658348,2,19
52,-31.000000,-23.500000,2.000000,0.63000000,0.05971602,0.00240597,2,19
53,-24.500000,-38.000000,2.000000,0.57000000,0.07708912,0.00310594,2,19
54,-20.000000,-30.500000,2.000000,0.58999996,0.01237078,0.00049842,4,19
55,-11.000000,-50.000000,2.000000,0.38000000,0.21077881,0.00849232,2,19
56,38.000000,5.500000,2.000000,0.67000000,0.12835454,0.00517143,2,19
57,74.000000,22.000000,2.000000,0.34000000,0.23504137,0.00946987,0,19
58,63.000000,0.500000,2.000000,0.85000000,0.00756797,0.00030492,4,19
59,50.500000,-22.500000,2.000000,0.42000000,0.10446311,0.00420884,2,19
60,88.500000,-6.000000,2.000000,0.73000000,0.28284699,0.01139597,0,19
61,31.000000,0.000000,2.000000,0.54000004,0.01467577,0.00059129,4,19
62,39.500000,-20.000000,2.000000,0.69000000,0.02623745,0.00105711,4,19
63,92.500000,20.000000,2.000000,0.40000000,0.15554773,0.00626705,2,19
64,100.500000,3.500000,2.000000,0.44000000,0.22946951,0.00924538,0,19
65,-83.000000,-94.000000,2.000000,0.30000002,0.03283455,0.00132291,4,19
66,-49.500000,-78.500000,2.000000,0.32000000,0.01022215,0.00041185,4,19
67,-10.000000,-59.500000,2.000000,0.50000000,0.38396347,0.01546997,0,19
68,1.000000,-54.000000,2.000000,0.28000000,0.02228083,0.00089770,4,19
69,26.000000,-43.000000,2.000000,0.24000000,0.33919462,0.01366622,2,19
70,46.500000,-33.500000,2.000000,0.34000000,0.02693296,0.00108513,4,19
71,66.500000,-24.500000,2.000000,0.50000000,0.06880161,0.00277203,2,19
72,82.000000,-17.500000,2.000000,0.38000000,0.00951146,0.00038322,4,19
73,98.500000,-9.500000,2.000000,0.52000000,0.13613419,0.00548488,2,19
74,56.500000,-54.500000,2.000000,0.26000000,0.02371146,0.00095534,2,19
75,109.000000,-17.500000,2.000000,0.63000000,0.01281632,0.00051637,4,19
76,116.000000,-30.500000,2.000000,0.50000000,0.10633874,0.00428441,2,19
77,5.000000,-94.000000,2.000000,0.46000000,0.10070331,0.00405736,2,19
78,45.500000,-86.500000,2.000000,0.28000000,0.19472398,0.00784547,2,19
79,81.500000,-69.500000,2.000000,0.32000000,0.39767312,0.01602234,0,19
80,125.000000,-49.500000,2.000000,0.54000004,0.16407199,0.00661050,2,19
