No.,x_m,y_m,z_m,official_velocity_ratio,predicted_velocity_ratio,speed_lbm,solid_corner_neighbors_max,samples
1,-27.000000,112.000000,2.000000,0.18000000,0.09546717,0.00384639,3,19
2,-93.000000,33.000000,2.000000,0.58999996,0.20450579,0.00823958,0,19
3,-88.000000,35.000000,2.000000,0.38000000,0.20486198,0.00825393,0,19
4,-74.000000,40.000000,2.000000,0.32000000,0.06425537,0.00258886,2,19
5,-61.000000,45.500000,2.000000,0.30000002,0.08705723,0.00350755,2,19
6,-50.500000,49.500000,2.000000,0.34000000,0.05495165,0.00221401,2,19
7,-33.500000,57.500000,2.000000,0.26000000,0.13935074,0.00561447,0,19
8,-9.500000,69.000000,2.000000,0.14000000,0.02378395,0.00095826,2,19
9,7.000000,76.500000,2.000000,0.12000000,0.13771719,0.00554866,0,19
10,45.000000,94.000000,2.000000,0.10000001,0.16322637,0.00657643,0,19
11,80.500000,110.000000,2.000000,0.55000000,0.06055216,0.00243966,2,19
12,-133.000000,21.000000,2.000000,0.30000002,0.21425193,0.00863226,0,19
13,-97.000000,19.000000,2.000000,0.58999996,0.20994979,0.00845892,0,19
14,-84.000000,22.500000,2.000000,0.46000000,0.19744642,0.00795516,0,19
15,-65.500000,29.500000,2.000000,0.40000000,0.20340218,0.00819512,0,19
16,-47.500000,36.500000,2.000000,0.38000000,0.19801378,0.00797802,0,19
17,-25.000000,47.000000,2.000000,0.20000000,0.04666584,0.00188018,4,19
18,-5.000000,56.000000,2.000000,0.28000000,0.08527519,0.00343576,2,19
19,13.500000,64.500000,2.000000,0.32000000,0.13612098,0.00548434,2,19
20,50.000000,81.500000,2.000000,0.20000000,0.10610108,0.00427484,2,19
21,87.000000,97.500000,2.000000,0.40000000,0.13523062,0.00544847,0,19
22,-114.500000,-8.000000,2.000000,0.58999996,0.07465586,0.00300790,2,19
23,-90.500000,8.000000,2.000000,0.54000004,0.02505763,0.00100958,4,19
24,-56.000000,33.000000,2.000000,0.46000000,0.19145018,0.00771357,0,19
25,-51.000000,22.000000,2.000000,0.52000000,0.17377535,0.00700145,0,19
26,-46.500000,11.000000,2.000000,0.55000000,0.21925121,0.00883368,0,19
27,-39.000000,16.000000,2.000000,0.48000000,0.10131180,0.00408187,2,19
28,-39.500000,-4.000000,2.000000,0.71000000,0.09312088,0.00375186,2,19
29,-32.000000,0.000000,2.000000,0.61000000,0.24138681,0.00972553,0,19
30,-39.000000,-11.000000,2.000000,0.69000000,0.11988474,0.00483018,2,19
31,6.500000,52.000000,2.000000,0.44000000,0.08352166,0.00336511,2,19
32,65.500000,74.500000,2.000000,0.54000004,0.01433129,0.00057741,4,19
33,73.500000,56.500000,2.000000,0.52000000,0.06945952,0.00279854,2,19
34,-117.500000,-32.000000,2.000000,0.32000000,0.21292480,0.00857879,0,19
35,-86.500000,-35.500000,2.000000,0.50000000,0.19057750,0.00767841,0,19
36,-75.000000,-31.500000,2.000000,0.32000000,0.23709257,0.00955251,0,19
37,-55.500000,-23.000000,2.000000,0.48000000,0.20582877,0.00829289,0,19
38,-26.000000,-10.000000,2.000000,0.61000000,0.07605139,0.00306413,2,19
39,-9.000000,-2.500000,2.000000,0.26000000,0.09354744,0.00376905,2,19
40,6.500000,4.500000,2.000000,0.38000000,0.21350350,0.00860210,0,19
41,29.500000,15.000000,2.000000,0.46000000,0.20855558,0.00840275,0,19
42,53.000000,26.000000,2.000000,0.44000000,0.08284069,0.00333767,2,19
43,67.500000,32.500000,2.000000,0.30000002,0.02021212,0.00081435,4,19
44,83.000000,39.000000,2.000000,0.46000000,0.01732341,0.00069796,2,19
45,120.500000,56.500000,2.000000,0.20000000,0.05640998,0.00227277,2,19
46,-121.000000,-56.500000,2.000000,0.18000000,0.06605535,0.00266138,2,19
47,-96.500000,-59.500000,2.000000,0.20000000,0.03055682,0.00123114,4,19
48,-77.000000,-59.000000,2.000000,0.36000000,0.16870396,0.00679712,2,19
49,-59.500000,-51.500000,2.000000,0.30000002,0.09516602,0.00383426,2,19
50,-45.500000,-45.000000,2.000000,0.26000000,0.00465641,0.00018761,5,19
51,-24.500000,-19.500000,2.000000,0.69000000,0.13609306,0.00548322,2,19
52,-31.000000,-23.500000,2.000000,0.63000000,0.01473114,0.00059352,4,19
53,-24.500000,-38.000000,2.000000,0.57000000,0.05653114,0.00227765,2,19
54,-20.000000,-30.500000,2.000000,0.58999996,0.00708911,0.00028562,4,19
55,-11.000000,-50.000000,2.000000,0.38000000,0.12729215,0.00512863,2,19
