No.,x_m,y_m,z_m,official_velocity_ratio,predicted_velocity_ratio,speed_lbm,solid_corner_neighbors_max,nearest_valid_velocity_ratio,fluid_weighted_velocity_ratio,vertical_valid_above_velocity_ratio,z_plus_half_velocity_ratio,fluid_weighted_solid_neighbors_max,nearest_valid_search_radius_max,vertical_valid_above_dz_max,samples
1,-27.000000,112.000000,2.000000,0.18000000,0.27001050,0.01087878,2,0.34523437,0.27001050,0.34523437,0.22769794,2,0,0,19
2,-93.000000,33.000000,2.000000,0.58999996,0.30216974,0.01217448,0,0.30216974,0.30216974,0.30216974,0.28114952,0,0,0,19
3,-88.000000,35.000000,2.000000,0.38000000,0.27300675,0.01099950,0,0.28594291,0.27300675,0.28594291,0.25948416,0,0,0,19
4,-74.000000,40.000000,2.000000,0.32000000,0.15753856,0.00634726,2,0.09594678,0.15753856,0.09594678,0.10093766,2,0,0,19
5,-61.000000,45.500000,2.000000,0.30000002,0.40951982,0.01649964,0,0.44928003,0.40951982,0.44928003,0.45531491,0,0,0,19
6,-50.500000,49.500000,2.000000,0.34000000,0.15472485,0.00623390,2,0.20430621,0.20629980,0.20430621,0.19938528,2,0,0,19
7,-33.500000,57.500000,2.000000,0.26000000,0.21382479,0.00861505,2,0.28223334,0.28509972,0.28223334,0.28059249,2,0,0,19
8,-9.500000,69.000000,2.000000,0.14000000,0.18127330,0.00730354,2,0.18242936,0.18127330,0.18242936,0.14727738,2,0,0,19
9,7.000000,76.500000,2.000000,0.12000000,0.00000000,0.00000000,4,0.15018896,0.00000000,0.12180046,0.05614744,4,1,1,19
10,45.000000,94.000000,2.000000,0.10000001,0.29147353,0.01174353,0,0.28096834,0.29147353,0.28096834,0.34771167,0,0,0,19
11,80.500000,110.000000,2.000000,0.55000000,0.66346047,0.02673096,0,0.68436045,0.66346047,0.68436045,0.65931526,0,0,0,19
12,-133.000000,21.000000,2.000000,0.30000002,0.30810005,0.01241342,0,0.30810005,0.30810005,0.30810005,0.27589808,0,0,0,19
13,-97.000000,19.000000,2.000000,0.58999996,0.26613972,0.01072283,0,0.26613972,0.26613972,0.26613972,0.24547405,0,0,0,19
14,-84.000000,22.500000,2.000000,0.46000000,0.39071817,0.01574212,0,0.36010059,0.39071817,0.36010059,0.38246732,0,0,0,19
15,-65.500000,29.500000,2.000000,0.40000000,0.32245237,0.01299168,0,0.32555672,0.32245237,0.32555672,0.35647614,0,0,0,19
16,-47.500000,36.500000,2.000000,0.38000000,0.13387697,0.00539393,0,0.11946049,0.13387697,0.11946049,0.20270218,0,0,0,19
17,-25.000000,47.000000,2.000000,0.20000000,0.41019039,0.01652666,0,0.41019039,0.41019039,0.41019039,0.44119257,0,0,0,19
18,-5.000000,56.000000,2.000000,0.28000000,0.36002944,0.01450566,0,0.40658528,0.36002944,0.40658528,0.34057251,0,0,0,19
19,13.500000,64.500000,2.000000,0.32000000,0.19919757,0.00802571,4,0.29794449,0.26559676,0.29794449,0.20093479,4,0,0,19
20,50.000000,81.500000,2.000000,0.20000000,0.32006538,0.01289550,0,0.22869351,0.32006538,0.22869351,0.26354005,0,0,0,19
21,87.000000,97.500000,2.000000,0.40000000,0.32024781,0.01290285,0,0.28635335,0.32024781,0.28635335,0.29607697,0,0,0,19
