No.,x_m,y_m,z_m,official_velocity_ratio,predicted_velocity_ratio,speed_lbm,solid_corner_neighbors_max,samples
1,-27.000000,112.000000,2.000000,0.18000000,0.03260638,0.00131372,3,181
2,-93.000000,33.000000,2.000000,0.58999996,0.19565059,0.00788280,0,181
3,-88.000000,35.000000,2.000000,0.38000000,0.19362221,0.00780108,0,181
4,-74.000000,40.000000,2.000000,0.32000000,0.20669982,0.00832798,0,181
5,-61.000000,45.500000,2.000000,0.30000002,0.10250996,0.00413015,2,181
6,-50.500000,49.500000,2.000000,0.34000000,0.00590263,0.00023782,4,181
7,-33.500000,57.500000,2.000000,0.26000000,0.00150573,0.00006067,4,181
8,-9.500000,69.000000,2.000000,0.14000000,0.18412244,0.00741833,0,181
9,7.000000,76.500000,2.000000,0.12000000,0.16430019,0.00661969,0,181
10,45.000000,94.000000,2.000000,0.10000001,0.18441948,0.00743030,0,181
11,80.500000,110.000000,2.000000,0.55000000,0.03750644,0.00151114,2,181
12,-133.000000,21.000000,2.000000,0.30000002,0.04354792,0.00175455,2,181
13,-97.000000,19.000000,2.000000,0.58999996,0.09214416,0.00371251,2,181
14,-84.000000,22.500000,2.000000,0.46000000,0.10922114,0.00440054,2,181
15,-65.500000,29.500000,2.000000,0.40000000,0.20486099,0.00825389,0,181
16,-47.500000,36.500000,2.000000,0.38000000,0.18421012,0.00742187,0,181
17,-25.000000,47.000000,2.000000,0.20000000,0.03607957,0.00145365,2,181
18,-5.000000,56.000000,2.000000,0.28000000,0.00313642,0.00012637,4,181
19,13.500000,64.500000,2.000000,0.32000000,0.17374531,0.00700024,2,181
20,50.000000,81.500000,2.000000,0.20000000,0.00255643,0.00010300,5,181
21,87.000000,97.500000,2.000000,0.40000000,0.10759635,0.00433508,2,181
22,-114.500000,-8.000000,2.000000,0.58999996,0.03348249,0.00134902,4,181
23,-90.500000,8.000000,2.000000,0.54000004,0.00577072,0.00023250,4,181
24,-56.000000,33.000000,2.000000,0.46000000,0.18578467,0.00748530,0,181
25,-51.000000,22.000000,2.000000,0.52000000,0.20760028,0.00836426,0,181
26,-46.500000,11.000000,2.000000,0.55000000,0.18866041,0.00760117,0,181
27,-39.000000,16.000000,2.000000,0.48000000,0.19327554,0.00778711,0,181
28,-39.500000,-4.000000,2.000000,0.71000000,0.02759155,0.00111167,2,181
29,-32.000000,0.000000,2.000000,0.61000000,0.03504601,0.00141201,2,181
30,-39.000000,-11.000000,2.000000,0.69000000,0.19581530,0.00788944,0,181
31,6.500000,52.000000,2.000000,0.44000000,0.16972240,0.00683815,1,181
