No.,x_m,y_m,z_m,official_velocity_ratio,predicted_velocity_ratio,speed_lbm,solid_corner_neighbors_max,samples
1,-27.000000,112.000000,2.000000,0.18000000,0.03255016,0.00131145,3,181
2,-93.000000,33.000000,2.000000,0.58999996,0.19560124,0.00788082,0,181
3,-88.000000,35.000000,2.000000,0.38000000,0.19350134,0.00779621,0,181
4,-74.000000,40.000000,2.000000,0.32000000,0.20659779,0.00832387,0,181
5,-61.000000,45.500000,2.000000,0.30000002,0.10246498,0.00412834,2,181
6,-50.500000,49.500000,2.000000,0.34000000,0.00589280,0.00023742,4,181
7,-33.500000,57.500000,2.000000,0.26000000,0.00149769,0.00006034,4,181
8,-9.500000,69.000000,2.000000,0.14000000,0.18404980,0.00741541,0,181
9,7.000000,76.500000,2.000000,0.12000000,0.16422514,0.00661667,0,181
10,45.000000,94.000000,2.000000,0.10000001,0.18442043,0.00743034,0,181
11,80.500000,110.000000,2.000000,0.55000000,0.03740703,0.00150714,2,181
12,-133.000000,21.000000,2.000000,0.30000002,0.04339566,0.00174842,2,181
13,-97.000000,19.000000,2.000000,0.58999996,0.09183951,0.00370023,2,181
14,-84.000000,22.500000,2.000000,0.46000000,0.10905260,0.00439375,2,181
15,-65.500000,29.500000,2.000000,0.40000000,0.20470101,0.00824745,0,181
16,-47.500000,36.500000,2.000000,0.38000000,0.18425475,0.00742366,0,181
17,-25.000000,47.000000,2.000000,0.20000000,0.03596888,0.00144919,2,181
18,-5.000000,56.000000,2.000000,0.28000000,0.00312302,0.00012583,4,181
19,13.500000,64.500000,2.000000,0.32000000,0.17344082,0.00698797,2,181
20,50.000000,81.500000,2.000000,0.20000000,0.00255042,0.00010276,5,181
21,87.000000,97.500000,2.000000,0.40000000,0.10741857,0.00432792,2,181
22,-114.500000,-8.000000,2.000000,0.58999996,0.03343653,0.00134717,4,181
23,-90.500000,8.000000,2.000000,0.54000004,0.00575731,0.00023196,4,181
24,-56.000000,33.000000,2.000000,0.46000000,0.18576602,0.00748455,0,181
25,-51.000000,22.000000,2.000000,0.52000000,0.20743820,0.00835773,0,181
26,-46.500000,11.000000,2.000000,0.55000000,0.18856088,0.00759716,0,181
27,-39.000000,16.000000,2.000000,0.48000000,0.19307592,0.00777907,0,181
28,-39.500000,-4.000000,2.000000,0.71000000,0.02758556,0.00111143,2,181
29,-32.000000,0.000000,2.000000,0.61000000,0.03494032,0.00140775,2,181
30,-39.000000,-11.000000,2.000000,0.69000000,0.19575712,0.00788710,0,181
31,6.500000,52.000000,2.000000,0.44000000,0.16924601,0.00681896,1,181
32,65.500000,74.500000,2.000000,0.54000004,0.00447439,0.00018027,4,181
33,73.500000,56.500000,2.000000,0.52000000,0.20286874,0.00817363,0,181
34,-117.500000,-32.000000,2.000000,0.32000000,0.22183060,0.00893760,0,181
35,-86.500000,-35.500000,2.000000,0.50000000,0.17695853,0.00712970,0,181
36,-75.000000,-31.500000,2.000000,0.32000000,0.20842803,0.00839761,0,181
37,-55.500000,-23.000000,2.000000,0.48000000,0.18819898,0.00758258,0,181
38,-26.000000,-10.000000,2.000000,0.61000000,0.20199073,0.00813825,0,181
39,-9.000000,-2.500000,2.000000,0.26000000,0.19458166,0.00783974,0,181
40,6.500000,4.500000,2.000000,0.38000000,0.12574163,0.00506616,2,181
41,29.500000,15.000000,2.000000,0.46000000,0.20806956,0.00838317,0,181
42,53.000000,26.000000,2.000000,0.44000000,0.03582578,0.00144343,2,181
43,67.500000,32.500000,2.000000,0.30000002,0.01371601,0.00055262,2,181
44,83.000000,39.000000,2.000000,0.46000000,0.00862496,0.00034750,4,181
45,120.500000,56.500000,2.000000,0.20000000,0.18988624,0.00765056,0,181
46,-121.000000,-56.500000,2.000000,0.18000000,0.02026871,0.00081663,4,181
47,-96.500000,-59.500000,2.000000,0.20000000,0.02291058,0.00092307,4,181
48,-77.000000,-59.000000,2.000000,0.36000000,0.00738347,0.00029748,4,181
49,-59.500000,-51.500000,2.000000,0.30000002,0.15803433,0.00636724,2,181
50,-45.500000,-45.000000,2.000000,0.26000000,0.06750210,0.00271967,4,181
51,-24.500000,-19.500000,2.000000,0.69000000,0.19731752,0.00794996,0,181
52,-31.000000,-23.500000,2.000000,0.63000000,0.04188199,0.00168743,3,181
53,-24.500000,-38.000000,2.000000,0.57000000,0.09838502,0.00396395,2,181
54,-20.000000,-30.500000,2.000000,0.58999996,0.00403099,0.00016241,4,181
55,-11.000000,-50.000000,2.000000,0.38000000,0.07181358,0.00289338,2,181
56,38.000000,5.500000,2.000000,0.67000000,0.10468483,0.00421777,3,181
57,74.000000,22.000000,2.000000,0.34000000,0.15640394,0.00630155,0,181
58,63.000000,0.500000,2.000000,0.85000000,0.04785022,0.00192790,2,181
59,50.500000,-22.500000,2.000000,0.42000000,0.06577685,0.00265016,2,181
