No.,x_m,y_m,z_m,official_velocity_ratio,predicted_velocity_ratio,speed_lbm,solid_corner_neighbors_max,samples
1,-27.000000,112.000000,2.000000,0.18000000,0.03512255,0.00141510,3,181
2,-93.000000,33.000000,2.000000,0.58999996,0.20146643,0.00811713,0,181
3,-88.000000,35.000000,2.000000,0.38000000,0.19881920,0.00801047,0,181
4,-74.000000,40.000000,2.000000,0.32000000,0.21405786,0.00862444,0,181
5,-61.000000,45.500000,2.000000,0.30000002,0.11041480,0.00444864,2,181
6,-50.500000,49.500000,2.000000,0.34000000,0.00880211,0.00035464,4,181
7,-33.500000,57.500000,2.000000,0.26000000,0.00219782,0.00008855,4,181
8,-9.500000,69.000000,2.000000,0.14000000,0.19555734,0.00787905,0,181
9,7.000000,76.500000,2.000000,0.12000000,0.17752310,0.00715244,0,181
10,45.000000,94.000000,2.000000,0.10000001,0.19880826,0.00801003,0,181
11,80.500000,110.000000,2.000000,0.55000000,0.04028845,0.00162323,2,181
12,-133.000000,21.000000,2.000000,0.30000002,0.04502618,0.00181411,2,181
13,-97.000000,19.000000,2.000000,0.58999996,0.09485868,0.00382188,2,181
14,-84.000000,22.500000,2.000000,0.46000000,0.11028975,0.00444360,2,181
15,-65.500000,29.500000,2.000000,0.40000000,0.20830723,0.00839274,0,181
16,-47.500000,36.500000,2.000000,0.38000000,0.19468217,0.00784379,0,181
17,-25.000000,47.000000,2.000000,0.20000000,0.03776104,0.00152140,2,181
18,-5.000000,56.000000,2.000000,0.28000000,0.00243079,0.00009794,4,181
19,13.500000,64.500000,2.000000,0.32000000,0.18374898,0.00740329,2,181
20,50.000000,81.500000,2.000000,0.20000000,0.00242897,0.00009786,5,181
21,87.000000,97.500000,2.000000,0.40000000,0.11574330,0.00466332,2,181
22,-114.500000,-8.000000,2.000000,0.58999996,0.03438239,0.00138527,4,181
23,-90.500000,8.000000,2.000000,0.54000004,0.00612792,0.00024690,4,181
24,-56.000000,33.000000,2.000000,0.46000000,0.19378239,0.00780753,0,181
25,-51.000000,22.000000,2.000000,0.52000000,0.21649467,0.00872262,0,181
26,-46.500000,11.000000,2.000000,0.55000000,0.19427887,0.00782754,0,181
27,-39.000000,16.000000,2.000000,0.48000000,0.19806005,0.00797988,0,181
28,-39.500000,-4.000000,2.000000,0.71000000,0.02860449,0.00115248,2,181
29,-32.000000,0.000000,2.000000,0.61000000,0.03580097,0.00144243,2,181
30,-39.000000,-11.000000,2.000000,0.69000000,0.20244730,0.00815665,0,181
31,6.500000,52.000000,2.000000,0.44000000,0.17821257,0.00718022,1,181
32,65.500000,74.500000,2.000000,0.54000004,0.00306644,0.00012355,4,181
33,73.500000,56.500000,2.000000,0.52000000,0.21572300,0.00869153,0,181
34,-117.500000,-32.000000,2.000000,0.32000000,0.22585603,0.00909979,0,181
35,-86.500000,-35.500000,2.000000,0.50000000,0.18050898,0.00727275,0,181
36,-75.000000,-31.500000,2.000000,0.32000000,0.21341571,0.00859856,0,181
37,-55.500000,-23.000000,2.000000,0.48000000,0.19202472,0.00773672,0,181
