sampling_mode,claim_boundary,solid_corner_neighbors_max,n,mae_pp,rmse_pp,bias_pp,r2,pearson,pred_mean,official_mean
raw_trilinear,formal,0,25,12.931660920000002,15.791879843612207,-7.09495652,-0.1764792378541058,0.35658352826921347,0.36065043440000005,0.4315999996
raw_trilinear,formal,2,37,27.110252432432432,30.98786165567866,-24.421130810810812,-3.232167521961302,-0.19961828610283003,0.1874103162162162,0.4316216243243243
raw_trilinear,formal,3,2,13.337622500000002,16.979000548583493,-10.5068685,-17.0179037267999,-1.0,0.114931315,0.22
raw_trilinear,formal,4,16,35.293837375,39.82934809509241,-35.293837375,-3.349962619473409,0.269639215539107,0.0595616275,0.41250000125
nearest_valid,diagnostic,0,25,13.48164568,16.058278851478374,-3.5461886400000004,-0.2165069537958062,0.30404382502748767,0.39613811320000003,0.4315999996
nearest_valid,diagnostic,2,37,25.423047783783783,29.27580995431057,-18.345020162162164,-2.7774391032944292,-0.19092106698235878,0.2481714227027027,0.4316216243243243
nearest_valid,diagnostic,3,2,15.767820000000002,17.954572088360003,-8.587345999999998,-19.147916179757242,-1.0,0.13412654000000002,0.22
nearest_valid,diagnostic,4,16,27.76394325,33.434404169396736,-27.76394325,-2.065252849211237,0.247152139927402,0.13486056875,0.41250000125
fluid_weighted,diagnostic,0,25,12.931660920000002,15.791879843612207,-7.09495652,-0.1764792378541058,0.35658352826921347,0.36065043440000005,0.4315999996
fluid_weighted,diagnostic,2,37,24.652763891891894,28.831886967525477,-19.314923513513513,-2.6637494532297388,-0.23727200411510138,0.2384723891891892,0.4316216243243243
fluid_weighted,diagnostic,3,2,16.65545,18.02092404114786,-6.881111000000001,-19.297106456051303,-1.0,0.15118889,0.22
fluid_weighted,diagnostic,4,16,29.343832687499997,34.68344098554613,-29.343832687499997,-2.2985531341804073,0.270219469733799,0.119061674375,0.41250000125
vertical_valid_above,diagnostic,0,25,13.48164568,16.058278851478374,-3.5461886400000004,-0.2165069537958062,0.30404382502748767,0.39613811320000003,0.4315999996
vertical_valid_above,diagnostic,2,37,24.207908459459457,27.970949522374994,-19.560159486486487,-2.4482127411983163,-0.06016772971239091,0.23602002945945944,0.4316216243243243
vertical_valid_above,diagnostic,3,2,15.767820000000002,17.954572088360003,-8.587345999999998,-19.147916179757242,-1.0,0.13412654000000002,0.22
vertical_valid_above,diagnostic,4,16,27.76394325,33.434404169396736,-27.76394325,-2.065252849211237,0.247152139927402,0.13486056875,0.41250000125
z_plus_half,diagnostic,0,25,13.063638599999999,15.87412044498906,-5.75028276,-0.1887648300183815,0.3159314256080458,0.37409717200000003,0.4315999996
z_plus_half,diagnostic,2,37,23.366406216216216,27.12067300809698,-20.8067647027027,-2.2417577532421316,0.13758812202366483,0.22355397729729728,0.4316216243243243
z_plus_half,diagnostic,3,2,16.758540500000002,18.573477785645384,-8.0078335,-20.5608798158664,-1.0,0.139921665,0.22
z_plus_half,diagnostic,4,16,29.542792750000004,34.913830247895596,-29.542792750000004,-2.3425208166882716,0.25761372345665884,0.11707207375,0.41250000125
