No.,case,Wind_direction,x_m,y_m,z_m,official_velocity_ratio,predicted_velocity_ratio,residual,abs_error_pp,sampling_mode,solid_corner_neighbors_max,samples,solid_corner_risk,evidence_type
1,ac,N,-27.0,112.0,2.0,0.18,0.20830754,0.02830754000000002,2.830754000000002,raw_trilinear,3,19,high,newly_run
2,ac,N,-93.0,33.0,2.0,0.59,0.32874972,-0.26125027999999995,26.125027999999993,raw_trilinear,0,19,none,newly_run
3,ac,N,-88.0,35.0,2.0,0.38,0.27719049,-0.10280950999999999,10.280951,raw_trilinear,0,19,none,newly_run
4,ac,N,-74.0,40.0,2.0,0.32,0.03532374,-0.28467626,28.467626000000003,raw_trilinear,2,19,moderate,newly_run
5,ac,N,-61.0,45.5,2.0,0.3,0.16671328,-0.13328672,13.328672,raw_trilinear,2,19,moderate,newly_run
6,ac,N,-50.5,49.5,2.0,0.34,0.11874212,-0.22125788000000002,22.125788,raw_trilinear,2,19,moderate,newly_run
7,ac,N,-33.5,57.5,2.0,0.26,0.25316522,-0.006834779999999985,0.6834779999999985,raw_trilinear,0,19,none,newly_run
8,ac,N,-9.5,69.0,2.0,0.14,0.04925373,-0.09074627000000002,9.074627000000001,raw_trilinear,4,19,high,newly_run
9,ac,N,7.0,76.5,2.0,0.12,0.08338691,-0.03661309,3.661309,raw_trilinear,2,19,moderate,newly_run
10,ac,N,45.0,94.0,2.0,0.1,0.31200519,0.21200518999999998,21.200519,raw_trilinear,0,19,none,newly_run
11,ac,N,80.5,110.0,2.0,0.55,0.22062139,-0.32937861,32.937861,raw_trilinear,2,19,moderate,newly_run
12,ac,N,-133.0,21.0,2.0,0.3,0.2657773,-0.034222699999999995,3.4222699999999993,raw_trilinear,0,19,none,newly_run
13,ac,N,-97.0,19.0,2.0,0.59,0.11199946,-0.47800054,47.800053999999996,raw_trilinear,2,19,moderate,newly_run
14,ac,N,-84.0,22.5,2.0,0.46,0.37454433,-0.08545567000000004,8.545567000000004,raw_trilinear,0,19,none,newly_run
15,ac,N,-65.5,29.5,2.0,0.4,0.384069,-0.01593100000000003,1.5931000000000028,raw_trilinear,0,19,none,newly_run
16,ac,N,-47.5,36.5,2.0,0.38,0.23438932,-0.14561068,14.561067999999999,raw_trilinear,0,19,none,newly_run
17,ac,N,-25.0,47.0,2.0,0.2,0.09064137,-0.10935863000000001,10.935863000000001,raw_trilinear,4,19,high,newly_run
18,ac,N,-5.0,56.0,2.0,0.28,0.16247229,-0.11752771000000004,11.752771000000003,raw_trilinear,2,19,moderate,newly_run
19,ac,N,13.5,64.5,2.0,0.32,0.03496582,-0.28503418,28.503418000000003,raw_trilinear,4,19,high,newly_run
20,ac,N,50.0,81.5,2.0,0.2,0.18146655,-0.018533450000000007,1.8533450000000007,raw_trilinear,2,19,moderate,newly_run
21,ac,N,87.0,97.5,2.0,0.4,0.2651739,-0.1348261,13.482610000000001,raw_trilinear,0,19,none,newly_run
22,ac,N,-114.5,-8.0,2.0,0.59,0.16242976,-0.42757024,42.757024,raw_trilinear,2,19,moderate,newly_run
23,ac,N,-90.5,8.0,2.0,0.54,0.15774745,-0.38225255,38.225255000000004,raw_trilinear,2,19,moderate,newly_run
24,ac,N,-56.0,33.0,2.0,0.46,0.19116407,-0.26883593000000006,26.883593000000005,raw_trilinear,0,19,none,newly_run
25,ac,N,-51.0,22.0,2.0,0.52,0.38581118,-0.13418882000000004,13.418882000000004,raw_trilinear,0,19,none,newly_run
26,ac,N,-46.5,11.0,2.0,0.55,0.35554295,-0.19445705000000002,19.445705000000004,raw_trilinear,0,19,none,newly_run
27,ac,N,-39.0,16.0,2.0,0.48,0.19027389,-0.28972611,28.972610999999997,raw_trilinear,2,19,moderate,newly_run
28,ac,N,-39.5,-4.0,2.0,0.71,0.39362757,-0.31637243,31.637242999999998,raw_trilinear,0,19,none,newly_run
29,ac,N,-32.0,0.0,2.0,0.61,0.54752525,-0.06247475000000002,6.247475000000002,raw_trilinear,0,19,none,newly_run
30,ac,N,-39.0,-11.0,2.0,0.69,0.18938433,-0.50061567,50.061567,raw_trilinear,2,19,moderate,newly_run
31,ac,N,6.5,52.0,2.0,0.44,0.09889764,-0.34110236,34.110236,raw_trilinear,4,19,high,newly_run
32,ac,N,65.5,74.5,2.0,0.54,0.20961041,-0.33038959,33.038959,raw_trilinear,2,19,moderate,newly_run
33,ac,N,73.5,56.5,2.0,0.52,0.52939261,0.009392610000000023,0.9392610000000023,raw_trilinear,0,19,none,newly_run
34,ac,N,-117.5,-32.0,2.0,0.32,0.43110631,0.11110630999999999,11.110630999999998,raw_trilinear,0,19,none,newly_run
35,ac,N,-86.5,-35.5,2.0,0.5,0.39907543,-0.10092456999999999,10.092457,raw_trilinear,0,19,none,newly_run
36,ac,N,-75.0,-31.5,2.0,0.32,0.42693671,0.10693670999999999,10.693670999999998,raw_trilinear,0,19,none,newly_run
37,ac,N,-55.5,-23.0,2.0,0.48,0.31255821,-0.16744178999999998,16.744179,raw_trilinear,0,19,none,newly_run
38,ac,N,-26.0,-10.0,2.0,0.61,0.11995387,-0.49004612999999997,49.004613,raw_trilinear,2,19,moderate,newly_run
39,ac,N,-9.0,-2.5,2.0,0.26,0.36592446,0.10592446,10.592445999999999,raw_trilinear,2,19,moderate,newly_run
40,ac,N,6.5,4.5,2.0,0.38,0.07938853,-0.30061147,30.061147,raw_trilinear,4,19,high,newly_run
41,ac,N,29.5,15.0,2.0,0.46,0.10755455,-0.35244545000000005,35.244545,raw_trilinear,2,19,moderate,newly_run
42,ac,N,53.0,26.0,2.0,0.44,0.11130642,-0.32869358,32.869358,raw_trilinear,2,19,moderate,newly_run
43,ac,N,67.5,32.5,2.0,0.3,0.1573176,-0.1426824,14.268239999999999,raw_trilinear,2,19,moderate,newly_run
44,ac,N,83.0,39.0,2.0,0.46,0.21231887,-0.24768113000000003,24.768113000000003,raw_trilinear,2,19,moderate,newly_run
45,ac,N,120.5,56.5,2.0,0.2,0.27860525,0.07860525000000002,7.860525000000002,raw_trilinear,0,19,none,newly_run
46,ac,N,-121.0,-56.5,2.0,0.18,0.35965863,0.17965862999999999,17.965863,raw_trilinear,2,19,moderate,newly_run
47,ac,N,-96.5,-59.5,2.0,0.2,0.00147794,-0.19852206,19.852206,raw_trilinear,4,19,high,newly_run
48,ac,N,-77.0,-59.0,2.0,0.36,0.336626,-0.023374000000000006,2.3374000000000006,raw_trilinear,2,19,moderate,newly_run
49,ac,N,-59.5,-51.5,2.0,0.3,0.26429585,-0.03570414999999999,3.570414999999999,raw_trilinear,2,19,moderate,newly_run
50,ac,N,-45.5,-45.0,2.0,0.26,0.02155509,-0.23844491,23.844491,raw_trilinear,3,19,high,newly_run
51,ac,N,-24.5,-19.5,2.0,0.69,0.26060797,-0.4293920299999999,42.93920299999999,raw_trilinear,2,19,moderate,newly_run
52,ac,N,-31.0,-23.5,2.0,0.63,0.09783202,-0.53216798,53.216798,raw_trilinear,2,19,moderate,newly_run
53,ac,N,-24.5,-38.0,2.0,0.57,0.16324099,-0.4067590099999999,40.67590099999999,raw_trilinear,2,19,moderate,newly_run
54,ac,N,-20.0,-30.5,2.0,0.59,0.04225041,-0.54774959,54.774959,raw_trilinear,4,19,high,newly_run
55,ac,N,-11.0,-50.0,2.0,0.38,0.29619185,-0.08380815000000003,8.380815000000002,raw_trilinear,2,19,moderate,newly_run
56,ac,N,38.0,5.5,2.0,0.67,0.20379514,-0.46620486000000005,46.62048600000001,raw_trilinear,2,19,moderate,newly_run
57,ac,N,74.0,22.0,2.0,0.34,0.38460754,0.04460754,4.460754,raw_trilinear,0,19,none,newly_run
58,ac,N,63.0,0.5,2.0,0.85,0.10843476,-0.74156524,74.156524,raw_trilinear,4,19,high,newly_run
59,ac,N,50.5,-22.5,2.0,0.42,0.13367753,-0.28632247,28.632247,raw_trilinear,2,19,moderate,newly_run
60,ac,N,88.5,-6.0,2.0,0.73,0.39983383,-0.33016617,33.016617,raw_trilinear,0,19,none,newly_run
61,ac,N,31.0,0.0,2.0,0.54,0.01660191,-0.52339809,52.339809,raw_trilinear,4,19,high,newly_run
62,ac,N,39.5,-20.0,2.0,0.69,0.02344557,-0.6665544299999999,66.65544299999999,raw_trilinear,4,19,high,newly_run
63,ac,N,92.5,20.0,2.0,0.4,0.25829743,-0.14170257000000003,14.170257000000003,raw_trilinear,2,19,moderate,newly_run
64,ac,N,100.5,3.5,2.0,0.44,0.33534344,-0.10465656000000001,10.465656000000001,raw_trilinear,0,19,none,newly_run
65,ac,N,-83.0,-94.0,2.0,0.3,0.05556118,-0.24443882,24.443882,raw_trilinear,4,19,high,newly_run
66,ac,N,-49.5,-78.5,2.0,0.32,0.01333601,-0.30666399,30.666399,raw_trilinear,4,19,high,newly_run
67,ac,N,-10.0,-59.5,2.0,0.5,0.46313159,-0.03686841000000002,3.686841000000002,raw_trilinear,0,19,none,newly_run
68,ac,N,1.0,-54.0,2.0,0.28,0.06487847,-0.21512153000000003,21.512153000000005,raw_trilinear,4,19,high,newly_run
69,ac,N,26.0,-43.0,2.0,0.24,0.45190441,0.21190441,21.190441,raw_trilinear,2,19,moderate,newly_run
70,ac,N,46.5,-33.5,2.0,0.34,0.05388631,-0.28611369000000003,28.611369000000003,raw_trilinear,4,19,high,newly_run
71,ac,N,66.5,-24.5,2.0,0.5,0.11426207,-0.38573793,38.573793,raw_trilinear,2,19,moderate,newly_run
72,ac,N,82.0,-17.5,2.0,0.38,0.10422745,-0.27577255,27.577255,raw_trilinear,4,19,high,newly_run
73,ac,N,98.5,-9.5,2.0,0.52,0.15903324,-0.36096676000000005,36.096676,raw_trilinear,2,19,moderate,newly_run
74,ac,N,56.5,-54.5,2.0,0.26,0.0148229,-0.2451771,24.51771,raw_trilinear,2,19,moderate,newly_run
75,ac,N,109.0,-17.5,2.0,0.63,0.11573894,-0.51426106,51.426106000000004,raw_trilinear,4,19,high,newly_run
76,ac,N,116.0,-30.5,2.0,0.5,0.16870707,-0.33129293000000004,33.129293000000004,raw_trilinear,2,19,moderate,newly_run
77,ac,N,5.0,-94.0,2.0,0.46,0.13460228,-0.32539772,32.539772,raw_trilinear,2,19,moderate,newly_run
78,ac,N,45.5,-86.5,2.0,0.28,0.25992782,-0.02007218000000005,2.0072180000000053,raw_trilinear,2,19,moderate,newly_run
79,ac,N,81.5,-69.5,2.0,0.32,0.48693445,0.16693445,16.693445,raw_trilinear,0,19,none,newly_run
80,ac,N,125.0,-49.5,2.0,0.54,0.19215115,-0.34784885000000004,34.784885,raw_trilinear,2,19,moderate,newly_run
