No.,x_m,y_m,z_m,official_velocity_ratio,raw_trilinear_velocity_ratio,raw_abs_error_pp,z_plus_half_velocity_ratio,z_plus_half_abs_error_pp,vertical_valid_above_velocity_ratio,vertical_valid_above_abs_error_pp,z_plus_half_improvement_pp,nearest_footprint_distance_m,nearest_wall_crossing_distance_m,solid_corner_neighbors_max,protocol_risk,dx_m,ground_offset_cells,grid_x_float,grid_y_float,grid_z_float,grid_x0,grid_y0,grid_z0,grid_tx,grid_ty,grid_tz,lower_z_center_m,upper_z_center_m,straddles_two_z_layers
1,-27.0,112.0,2.0,0.18,0.20830754,2.830754000000002,0.26750707,8.750707000000002,0.25180474,7.180474000000004,-5.919953,2.107163002985231,2.1109732648709665,3,moderate,2.0,1,136.0,305.5,1.5,136,305,1,0.0,0.5,0.5,1.0,3.0,True
2,-93.0,33.0,2.0,0.58999996,0.32874972,26.125023999999996,0.31055077,27.944919000000002,0.31055077,27.944919000000002,-1.8198950000000047,6.118845893017723,6.118845893017723,0,low,2.0,1,103.0,266.0,1.5,103,266,1,0.0,0.0,0.5,1.0,3.0,True
3,-88.0,35.0,2.0,0.38,0.27719049,10.280951,0.28872637,9.127362999999999,0.2849956,9.50044,1.1535879999999998,5.174329769890146,5.174329769890146,0,low,2.0,1,105.5,267.0,1.5,105,267,1,0.5,0.0,0.5,1.0,3.0,True
4,-74.0,40.0,2.0,0.32,0.03532374,28.467626000000003,0.07878813,24.121187,0.12039875,19.960125,4.346439000000002,5.550077218006069,5.550077218006069,2,moderate,2.0,1,112.5,269.5,1.5,112,269,1,0.5,0.5,0.5,1.0,3.0,True
5,-61.0,45.5,2.0,0.30000002,0.16671328,13.328674,0.25752477,4.247524999999996,0.25092696,4.907306,9.081149000000002,7.24624209935743,7.24624209935743,2,moderate,2.0,1,119.0,272.25,1.5,119,272,1,0.0,0.25,0.5,1.0,3.0,True
6,-50.5,49.5,2.0,0.34,0.11874212,22.125788,0.16043363,17.956637000000004,0.12252457,21.747543000000004,4.1691509999999985,9.116756581290298,9.116756581290298,2,moderate,2.0,1,124.25,274.25,1.5,124,274,1,0.25,0.25,0.5,1.0,3.0,True
7,-33.5,57.5,2.0,0.26,0.25316522,0.6834779999999985,0.25238754,0.7612459999999988,0.24507491,1.492509,-0.07776800000000028,9.355296922065063,9.355296922065063,0,low,2.0,1,132.75,278.25,1.5,132,278,1,0.75,0.25,0.5,1.0,3.0,True
8,-9.5,69.0,2.0,0.14,0.04925373,9.074627000000001,0.09850746,4.149254000000001,0.10450282,3.5497180000000017,4.925373000000001,5.495764975285608,5.495831992173333,4,high,2.0,1,144.75,284.0,1.5,144,284,1,0.75,0.0,0.5,1.0,3.0,True
9,7.0,76.5,2.0,0.12,0.08338691,3.661309,0.11870063,0.12993699999999941,0.11851407,0.14859299999999964,3.5313720000000006,5.8891615766653365,5.8891615766653365,2,moderate,2.0,1,153.0,287.75,1.5,153,287,1,0.0,0.75,0.5,1.0,3.0,True
10,45.0,94.0,2.0,0.10000001,0.31200519,21.200518,0.29544359,19.544358,0.3653142,26.531419,1.656160000000001,7.022801261782934,7.022801261782934,0,low,2.0,1,172.0,296.5,1.5,172,296,1,0.0,0.5,0.5,1.0,3.0,True
