check,passed
generator_exists,True
wall_model_cli_default_off,True
wall_dilation_default_zero,True
wall_damping_default_zero,True
setup_contains_wall_followup_function,True
setup_supports_voxel_dilation,True
setup_supports_ground_damping,True
setup_calls_wall_followup_after_voxelization,True
manifest_records_default_safety,True
manifest_blocks_default_accuracy_promotion,True
claim_boundary_blocks_accuracy_claim,True
candidate_no_longer_blocks_on_missing_implementation,True
candidate_command_uses_wall_model,True
runbook_no_longer_uses_wall_placeholder_todo,True
runbook_command_uses_wall_model,True
