sampling_mode,claim_boundary,solid_corner_neighbors_max,n,mae_pp,rmse_pp,bias_pp,r2,pearson,pred_mean,official_mean
raw_trilinear,formal,0,47,12.434702510638298,15.381983770875301,-5.378619404255319,-0.281039158081277,0.32259918307771046,0.37557550787234045,0.4293617019148936
raw_trilinear,formal,2,20,31.924976450000003,37.814120056682135,-29.698003949999997,-2.7462539840018647,-0.13550370562627814,0.1320199605,0.429
raw_trilinear,formal,4,13,35.84477692307692,40.91063584935894,-35.84477692307692,-4.5134678723601525,-0.2544653231726389,0.02924454769230769,0.38769231692307693
nearest_valid,diagnostic,0,47,13.024289957446808,15.774943667489863,-5.33478255319149,-0.3473280197623325,0.3091286314544555,0.37601387638297873,0.4293617019148936
nearest_valid,diagnostic,2,20,25.85269495,31.700165567287954,-22.409926750000004,-1.632766125020296,0.04755560587821539,0.2049007325,0.429
nearest_valid,diagnostic,4,13,28.365880615384615,33.69780885836523,-27.90143507692307,-2.7407244153133488,-0.009773951836299246,0.10867796615384616,0.38769231692307693
fluid_weighted,diagnostic,0,47,12.434702510638298,15.381983770875301,-5.378619404255319,-0.281039158081277,0.32259918307771046,0.37557550787234045,0.4293617019148936
fluid_weighted,diagnostic,2,20,26.114626599999998,31.97948536856286,-23.6366569,-1.6793667368724754,0.17358461026409966,0.192633431,0.429
fluid_weighted,diagnostic,4,13,34.434909,40.423669280184846,-34.434909,-4.382993475701339,-0.2815640424559873,0.04334322692307692,0.38769231692307693
vertical_valid_above,diagnostic,0,47,13.024289957446808,15.774943667489863,-5.33478255319149,-0.3473280197623325,0.3091286314544555,0.37601387638297873,0.4293617019148936
vertical_valid_above,diagnostic,2,20,21.547655149999997,26.126774271148072,-18.10488695,-0.7883841268890734,0.33300517032817,0.2479511305,0.429
vertical_valid_above,diagnostic,4,13,18.47375615384615,22.264758623080724,-17.689414461538462,-0.6330082229128857,0.6331251844505138,0.2107981723076923,0.38769231692307693
z_plus_half,diagnostic,0,47,12.692841106382978,15.80281196342512,-4.785393744680852,-0.35209265195598105,0.2832068211886322,0.3815077644680851,0.4293617019148936
z_plus_half,diagnostic,2,20,26.737899900000002,32.026773328450375,-25.5304778,-1.6872965369973776,0.23839543370316202,0.173695222,0.429
z_plus_half,diagnostic,4,13,28.426243384615386,31.851622849244027,-28.426243384615386,-2.3420698191949834,0.6098512815801533,0.10342988307692308,0.38769231692307693
