No.,x_m,y_m,z_m,official_velocity_ratio,raw_trilinear_velocity_ratio,raw_abs_error_pp,z_plus_half_velocity_ratio,z_plus_half_abs_error_pp,vertical_valid_above_velocity_ratio,vertical_valid_above_abs_error_pp,z_plus_half_improvement_pp,nearest_footprint_distance_m,nearest_wall_crossing_distance_m,solid_corner_neighbors_max,protocol_risk,dx_m,ground_offset_cells,origin_z_offset_m,grid_x_float,grid_y_float,grid_z_float,grid_x0,grid_y0,grid_z0,grid_tx,grid_ty,grid_tz,lower_z_center_m,upper_z_center_m,straddles_two_z_layers
1,-27.0,112.0,2.0,0.18,0.2700105,9.00105,0.22769794,4.769793999999999,0.34523437,16.523437,4.231256,2.107163002985231,2.1109732648709665,2,moderate,2.0,1,1.0,136.0,305.5,1.0,136,305,1,0.0,0.5,0.0,2.0,4.0,False
2,-93.0,33.0,2.0,0.58999996,0.30216974,28.783021999999995,0.28114952,30.885044,0.30216974,28.783021999999995,-2.1020220000000034,6.118845893017723,6.118845893017723,0,low,2.0,1,1.0,103.0,266.0,1.0,103,266,1,0.0,0.0,0.0,2.0,4.0,False
3,-88.0,35.0,2.0,0.38,0.27300675,10.699324999999998,0.25948416,12.051583999999998,0.28594291,9.405709000000002,-1.352259,5.174329769890146,5.174329769890146,0,low,2.0,1,1.0,105.5,267.0,1.0,105,267,1,0.5,0.0,0.0,2.0,4.0,False
4,-74.0,40.0,2.0,0.32,0.15753856,16.246144,0.10093766,21.906234,0.09594678,22.405321999999998,-5.660090000000001,5.550077218006069,5.550077218006069,2,moderate,2.0,1,1.0,112.5,269.5,1.0,112,269,1,0.5,0.5,0.0,2.0,4.0,False
5,-61.0,45.5,2.0,0.30000002,0.40951982,10.95198,0.45531491,15.531489000000004,0.44928003,14.928001000000002,-4.579509000000003,7.24624209935743,7.24624209935743,0,low,2.0,1,1.0,119.0,272.25,1.0,119,272,1,0.0,0.25,0.0,2.0,4.0,False
6,-50.5,49.5,2.0,0.34,0.15472485,18.527515,0.19938528,14.061472000000002,0.20430621,13.569379000000003,4.466043,9.116756581290298,9.116756581290298,2,moderate,2.0,1,1.0,124.25,274.25,1.0,124,274,1,0.25,0.25,0.0,2.0,4.0,False
7,-33.5,57.5,2.0,0.26,0.21382479,4.617521000000002,0.28059249,2.059249000000002,0.28223334,2.223333999999999,2.5582720000000005,9.355296922065063,9.355296922065063,2,moderate,2.0,1,1.0,132.75,278.25,1.0,132,278,1,0.75,0.25,0.0,2.0,4.0,False
8,-9.5,69.0,2.0,0.14,0.1812733,4.127329999999999,0.14727738,0.727738,0.18242936,4.242936,3.3995919999999984,5.495764975285608,5.495831992173333,2,moderate,2.0,1,1.0,144.75,284.0,1.0,144,284,1,0.75,0.0,0.0,2.0,4.0,False
9,7.0,76.5,2.0,0.12,0.0,12.0,0.05614744,6.385256,0.12180046,0.18004600000000037,5.614743999999999,5.8891615766653365,5.8891615766653365,4,high,2.0,1,1.0,153.0,287.75,1.0,153,287,1,0.0,0.75,0.0,2.0,4.0,False
10,45.0,94.0,2.0,0.10000001,0.29147353,19.147351999999998,0.34771167,24.771165999999997,0.28096834,18.096832999999997,-5.623813999999999,7.022801261782934,7.022801261782934,0,low,2.0,1,1.0,172.0,296.5,1.0,172,296,1,0.0,0.5,0.0,2.0,4.0,False
11,80.5,110.0,2.0,0.55,0.66346047,11.346046999999992,0.65931526,10.931525999999991,0.68436045,13.436044999999996,0.414521000000001,7.009814570479028,7.009814570479028,0,low,2.0,1,1.0,189.75,304.5,1.0,189,304,1,0.75,0.5,0.0,2.0,4.0,False
12,-133.0,21.0,2.0,0.30000002,0.30810005,0.8100030000000036,0.27589808,2.410193999999999,0.30810005,0.8100030000000036,-1.6001909999999953,5.5090968597661565,5.5090968597661565,0,low,2.0,1,1.0,83.0,260.0,1.0,83,260,1,0.0,0.0,0.0,2.0,4.0,False
13,-97.0,19.0,2.0,0.58999996,0.26613972,32.386024,0.24547405,34.452591,0.26613972,32.386024,-2.0665670000000027,5.927577123644421,5.927577123644421,0,low,2.0,1,1.0,101.0,259.0,1.0,101,259,1,0.0,0.0,0.0,2.0,4.0,False
14,-84.0,22.5,2.0,0.46,0.39071817,6.928183000000004,0.38246732,7.753268000000002,0.36010059,9.989941000000002,-0.8250849999999976,12.301649368479012,12.301649368479012,0,low,2.0,1,1.0,107.5,260.75,1.0,107,260,1,0.5,0.75,0.0,2.0,4.0,False
15,-65.5,29.5,2.0,0.4,0.32245237,7.754763000000003,0.35647614,4.352386000000003,0.32555672,7.4443280000000005,3.402377000000001,11.58339247746032,11.58339247746032,0,low,2.0,1,1.0,116.75,264.25,1.0,116,264,1,0.75,0.25,0.0,2.0,4.0,False
16,-47.5,36.5,2.0,0.38,0.13387697,24.612303,0.20270218,17.729782,0.11946049,26.053950999999998,6.882521,9.613348928703259,9.613348928703259,0,low,2.0,1,1.0,125.75,267.75,1.0,125,267,1,0.75,0.75,0.0,2.0,4.0,False
17,-25.0,47.0,2.0,0.2,0.41019039,21.019039,0.44119257,24.119257,0.41019039,21.019039,-3.100217999999999,4.928384651050861,4.92845192348556,0,low,2.0,1,1.0,137.0,273.0,1.0,137,273,1,0.0,0.0,0.0,2.0,4.0,False
18,-5.0,56.0,2.0,0.28,0.36002944,8.002943999999996,0.34057251,6.057250999999997,0.40658528,12.658527999999997,1.9456929999999983,3.3553465294763765,3.3553465294763765,0,low,2.0,1,1.0,147.0,277.5,1.0,147,277,1,0.0,0.5,0.0,2.0,4.0,False
19,13.5,64.5,2.0,0.32,0.19919757,12.080243000000001,0.20093479,11.906521,0.29794449,2.205551,0.17372200000000115,1.2932380025497958,1.4319601460934612,4,high,2.0,1,1.0,156.25,281.75,1.0,156,281,1,0.25,0.75,0.0,2.0,4.0,False
20,50.0,81.5,2.0,0.2,0.32006538,12.006537999999999,0.26354005,6.354005000000002,0.22869351,2.8693509999999978,5.652532999999998,2.4859975783649157,2.4859975783649157,0,low,2.0,1,1.0,174.5,290.25,1.0,174,290,1,0.5,0.25,0.0,2.0,4.0,False
21,87.0,97.5,2.0,0.4,0.32024781,7.975219,0.29607697,10.392303000000002,0.28635335,11.364665000000002,-2.4170840000000027,2.6480749382763724,2.6480749382763724,0,low,2.0,1,1.0,193.0,298.25,1.0,193,298,1,0.0,0.25,0.0,2.0,4.0,False
22,-114.5,-8.0,2.0,0.58999996,0.16300356,42.69964,0.20939713,38.060283,0.29856955,29.143040999999997,4.6393569999999995,1.6668167667984541,1.6668167667984541,2,moderate,2.0,1,1.0,92.25,245.5,1.0,92,245,1,0.25,0.5,0.0,2.0,4.0,False
23,-90.5,8.0,2.0,0.54000004,0.12600656,41.399348,0.19376801,34.623203000000004,0.28353181,25.646823,6.776145,4.519069299421852,4.519069299421852,2,moderate,2.0,1,1.0,104.25,253.5,1.0,104,253,1,0.25,0.5,0.0,2.0,4.0,False
24,-56.0,33.0,2.0,0.46,0.28048573,17.951427000000002,0.33982742,12.017258000000004,0.28147988,17.852012000000002,5.934169000000001,13.929998858780463,13.929998858780463,0,low,2.0,1,1.0,121.5,266.0,1.0,121,266,1,0.5,0.0,0.0,2.0,4.0,False
25,-51.0,22.0,2.0,0.52,0.36917086,15.082914000000002,0.37071686,14.928314000000004,0.33869675,18.130325000000003,0.15459999999999918,8.728176603457108,8.728176603457108,0,low,2.0,1,1.0,124.0,260.5,1.0,124,260,1,0.0,0.5,0.0,2.0,4.0,False
26,-46.5,11.0,2.0,0.55,0.45826083,9.173917000000003,0.50757123,4.242877,0.46472313,8.527687000000006,4.931040000000003,8.811545727997549,8.811545727997549,0,low,2.0,1,1.0,126.25,255.0,1.0,126,255,1,0.25,0.0,0.0,2.0,4.0,False
27,-39.0,16.0,2.0,0.48,0.0,48.0,0.15812087,32.187913,0.31869598,16.130402,15.812086999999996,2.4757432467556333,2.4757906461416175,4,high,2.0,1,1.0,130.0,257.5,1.0,130,257,1,0.0,0.5,0.0,2.0,4.0,False
28,-39.5,-4.0,2.0,0.71,0.18090167,52.90983299999999,0.2728053,43.71947,0.43735355,27.264644999999998,9.190362999999996,9.72674469162805,9.726924829061598,2,moderate,2.0,1,1.0,129.75,247.5,1.0,129,247,1,0.75,0.5,0.0,2.0,4.0,False
29,-32.0,0.0,2.0,0.61,0.01329987,59.670013,0.13366208,47.633792,0.23765633,37.234367,12.036221000000003,2.4685814073920707,2.4685814073920707,2,moderate,2.0,1,1.0,133.5,249.5,1.0,133,249,1,0.5,0.5,0.0,2.0,4.0,False
30,-39.0,-11.0,2.0,0.69,0.0,69.0,0.1998763,49.01237,0.39975261,29.024738999999993,19.98763,9.561895866537139,9.562559464815106,4,high,2.0,1,1.0,130.0,244.0,1.0,130,244,1,0.0,0.0,0.0,2.0,4.0,False
31,6.5,52.0,2.0,0.44,0.20273667,23.726333,0.20172047,23.827952999999997,0.45534178,1.5341779999999972,-0.10161999999999949,2.4716284427114243,2.4716284427114243,2,moderate,2.0,1,1.0,152.75,275.5,1.0,152,275,1,0.75,0.5,0.0,2.0,4.0,False
32,65.5,74.5,2.0,0.54000004,0.0,54.000004000000004,0.15951386,38.048618,0.30358187,23.641817000000003,15.951386000000001,6.05998762890652,6.05998762890652,4,high,2.0,1,1.0,182.25,286.75,1.0,182,286,1,0.25,0.75,0.0,2.0,4.0,False
33,73.5,56.5,2.0,0.52,0.542814,2.2814,0.66273643,14.273643000000003,0.54091291,2.091290999999995,-11.992243000000002,7.003204790634051,7.003204790634051,0,low,2.0,1,1.0,186.25,277.75,1.0,186,277,1,0.25,0.75,0.0,2.0,4.0,False
34,-117.5,-32.0,2.0,0.32,0.35018705,3.0187049999999993,0.38461524,6.461524000000002,0.34202052,2.202051999999999,-3.4428190000000027,4.385652759282245,4.385652759282245,0,low,2.0,1,1.0,90.75,233.5,1.0,90,233,1,0.75,0.5,0.0,2.0,4.0,False
35,-86.5,-35.5,2.0,0.5,0.35114802,14.885197999999999,0.38180346,11.819654000000002,0.33633095,16.366905,3.065543999999998,4.034521097815645,4.034521097815645,0,low,2.0,1,1.0,106.25,231.75,1.0,106,231,1,0.25,0.75,0.0,2.0,4.0,False
36,-75.0,-31.5,2.0,0.32,0.40088243,8.088243,0.39285854,7.285853999999997,0.43571346,11.571345999999998,0.8023890000000033,3.5148049807961224,3.5148049807961224,0,low,2.0,1,1.0,112.0,233.75,1.0,112,233,1,0.0,0.75,0.0,2.0,4.0,False
37,-55.5,-23.0,2.0,0.48,0.28198408,19.801591999999996,0.28620363,19.379637,0.28103272,19.896727999999996,0.4219549999999961,5.616001171834975,5.616001171834975,0,low,2.0,1,1.0,121.75,238.0,1.0,121,238,1,0.75,0.0,0.0,2.0,4.0,False
38,-26.0,-10.0,2.0,0.61,0.0,61.0,0.14748391,46.251609,0.27159124,33.840875999999994,14.748391,4.817435055413306,4.817435055413306,4,high,2.0,1,1.0,136.5,244.5,1.0,136,244,1,0.5,0.5,0.0,2.0,4.0,False
39,-9.0,-2.5,2.0,0.26,0.41252098,15.252097999999997,0.37037019,11.037018999999997,0.46087797,20.087797000000002,4.215078999999999,4.7103956668006495,4.711597289333326,0,low,2.0,1,1.0,145.0,248.25,1.0,145,248,1,0.0,0.25,0.0,2.0,4.0,False
40,6.5,4.5,2.0,0.38,0.39988811,1.9888110000000014,0.35260938,2.739062000000003,0.3915431,1.1543099999999973,-0.7502510000000018,4.368552770304057,4.368552770304057,0,low,2.0,1,1.0,152.75,251.75,1.0,152,251,1,0.75,0.75,0.0,2.0,4.0,False
41,29.5,15.0,2.0,0.46,0.0,46.0,0.12526806,33.47319400000001,0.2547051,20.52949,12.526805999999995,7.866705655164682,7.866705655164682,2,moderate,2.0,1,1.0,164.25,257.0,1.0,164,257,1,0.25,0.0,0.0,2.0,4.0,False
