check,passed
component_source_exists,True
component_class_present,True
grasshopper_component_name_present,True
outputs_claim_readiness,True
outputs_formal_release_allowed,True
outputs_metric_gaps,True
outputs_next_actions_and_boundary,True
records_official_protocol,True
records_official_sampling_height,True
records_current_official_metrics,True
records_metric_thresholds,True
records_ordered_action_ids,True
records_official_followup_actions,True
records_postrun_audit_policy,True
blocks_forbidden_claims,True
blocks_default_promotion,True
component_guid_present,True
