check,passed
source_exists,True
marker_component_class,True
marker_component_name,True
marker_official_height,True
marker_probe_count,True
marker_case_ac,True
marker_wind_direction_n,True
marker_case_input,True
marker_wind_direction_input,True
marker_raw_trilinear,True
marker_mae_threshold,True
marker_r2_threshold,True
marker_pearson_threshold,True
marker_official_column,True
marker_predicted_column,True
marker_mae_formula,True
marker_rmse_formula,True
marker_bias_formula,True
marker_r2_formula,True
marker_pearson_formula,True
marker_gate_false_until_release,True
marker_formal_false,True
marker_diagnostic_forbidden,True
marker_guid,True
has_report_output,True
has_metric_rows_output,True
has_gate_checks_output,True
has_official_metric_gate_output,True
has_formal_release_allowed_output,True
has_claim_readiness_output,True
does_not_set_formal_true,True
requires_release_gate_boundary,True
blocks_non_raw_trilinear,True
blocks_non_z2m,True
blocks_non_ac_case,True
blocks_non_n_direction,True
blocks_bad_probe_count,True
keeps_claim_readiness_boundary,True
