check,passed
source_exists,True
marker_component_class,True
marker_component_name,True
marker_official_height,True
marker_probe_count,True
marker_case_ac,True
marker_wind_direction_n,True
marker_raw_trilinear,True
marker_official_column,True
marker_predicted_column,True
marker_top_residual_rows,True
marker_group_rows,True
marker_risk_rows,True
marker_low_group,True
marker_mid_group,True
marker_high_group,True
marker_under_fraction,True
marker_formal_false,True
marker_no_metric_improvement,True
marker_no_calibration,True
marker_no_diagnostic_sampling_formal,True
marker_release_boundary,True
marker_guid,True
has_report_output,True
has_top_output,True
has_group_output,True
has_risk_output,True
has_formal_diagnostic_ready_output,True
has_claim_readiness_output,True
checks_ac_case,True
checks_n_direction,True
checks_z2m,True
checks_raw_trilinear,True
checks_probe_ids,True
requires_80_rows,True
