check,passed
component_source_exists,True
component_class_present,True
grasshopper_component_name_present,True
outputs_audit_command,True
outputs_claim_readiness,True
outputs_ready_gate,True
outputs_formal_result_allowed_false,True
outputs_candidate_sha256,True
requires_official_case_ac_n,True
requires_raw_trilinear,True
requires_80_probes,True
requires_steps_and_spinup,True
requires_official_columns,True
requires_manifest_and_complete_log,True
prints_casee_audit_command,True
blocks_formal_claims,True
component_guid_present,True
