No.,case,Wind_direction,x(m),y(m),z(m),Velocity_Ratio
1,bc,N,-27,112,2,0.18
2,bc,N,-93,33,2,0.34
3,bc,N,-88,35,2,0.24
4,bc,N,-74,40,2,0.18
5,bc,N,-61,45.5,2,0.46
6,bc,N,-50.5,49.5,2,0.48
7,bc,N,-33.5,57.5,2,0.32
8,bc,N,-9.5,69,2,0.12
9,bc,N,7,76.5,2,0.1
10,bc,N,45,94,2,0.1
11,bc,N,80.5,110,2,0.55
12,bc,N,-133,21,2,0.22
13,bc,N,-97,19,2,0.38
14,bc,N,-84,22.5,2,0.32
15,bc,N,-65.5,29.5,2,0.54
16,bc,N,-47.5,36.5,2,0.52
17,bc,N,-25,47,2,0.24
18,bc,N,-5,56,2,0.26
19,bc,N,13.5,64.5,2,0.32
20,bc,N,50,81.5,2,0.2
21,bc,N,87,97.5,2,0.38
22,bc,N,-114.5,-8,2,0.32
23,bc,N,-90.5,8,2,0.36
24,bc,N,-56,33,2,0.65
25,bc,N,-51,22,2,0.59
26,bc,N,-46.5,11,2,0.55
27,bc,N,-39,16,2,0.34
28,bc,N,-39.5,-4,2,0.52
29,bc,N,-32,0,2,0.34
30,bc,N,-39,-11,2,0.44
31,bc,N,6.5,52,2,0.46
32,bc,N,65.5,74.5,2,0.55
33,bc,N,73.5,56.5,2,0.54
34,bc,N,-117.5,-32,2,0.22
35,bc,N,-86.5,-35.5,2,0.24
36,bc,N,-75,-31.5,2,0.46
37,bc,N,-55.5,-23,2,0.34
38,bc,N,-26,-10,2,0.4
39,bc,N,-9,-2.5,2,0.24
40,bc,N,6.5,4.5,2,0.3
41,bc,N,29.5,15,2,0.2
42,bc,N,53,26,2,0.22
43,bc,N,67.5,32.5,2,0.42
44,bc,N,83,39,2,0.46
45,bc,N,120.5,56.5,2,0.18
46,bc,N,-121,-56.5,2,0.18
47,bc,N,-96.5,-59.5,2,0.14
48,bc,N,-77,-59,2,0.18
49,bc,N,-59.5,-51.5,2,0.34
50,bc,N,-45.5,-45,2,0.22
51,bc,N,-24.5,-19.5,2,0.38
52,bc,N,-31,-23.5,2,0.28
53,bc,N,-24.5,-38,2,0.32
54,bc,N,-20,-30.5,2,0.36
55,bc,N,-11,-50,2,0.34
56,bc,N,38,5.5,2,0.26
57,bc,N,74,22,2,0.48
58,bc,N,63,0.5,2,0.54
59,bc,N,50.5,-22.5,2,0.46
60,bc,N,88.5,-6,2,0.36
61,bc,N,31,0,2,0.22
62,bc,N,39.5,-20,2,0.3
63,bc,N,92.5,20,2,0.28
64,bc,N,100.5,3.5,2,0.22
65,bc,N,-83,-94,2,0.26
66,bc,N,-49.5,-78.5,2,0.3
67,bc,N,-10,-59.5,2,0.38
68,bc,N,1,-54,2,0.28
69,bc,N,26,-43,2,0.3
70,bc,N,46.5,-33.5,2,0.55
71,bc,N,66.5,-24.5,2,0.4
72,bc,N,82,-17.5,2,0.34
73,bc,N,98.5,-9.5,2,0.34
74,bc,N,56.5,-54.5,2,0.22
75,bc,N,109,-17.5,2,0.46
76,bc,N,116,-30.5,2,0.44
77,bc,N,5,-94,2,0.54
78,bc,N,45.5,-86.5,2,0.3
79,bc,N,81.5,-69.5,2,0.36
80,bc,N,125,-49.5,2,0.5
1,bc,NNE,-27,112,2,0.2
2,bc,NNE,-93,33,2,0.3
3,bc,NNE,-88,35,2,0.22
4,bc,NNE,-74,40,2,0.26
5,bc,NNE,-61,45.5,2,0.59
6,bc,NNE,-50.5,49.5,2,0.44
7,bc,NNE,-33.5,57.5,2,0.26
8,bc,NNE,-9.5,69,2,0.14
9,bc,NNE,7,76.5,2,0.16
10,bc,NNE,45,94,2,0.14
11,bc,NNE,80.5,110,2,0.48
12,bc,NNE,-133,21,2,0.34
13,bc,NNE,-97,19,2,0.32
14,bc,NNE,-84,22.5,2,0.44
15,bc,NNE,-65.5,29.5,2,0.65
16,bc,NNE,-47.5,36.5,2,0.59
17,bc,NNE,-25,47,2,0.28
18,bc,NNE,-5,56,2,0.2
19,bc,NNE,13.5,64.5,2,0.44
20,bc,NNE,50,81.5,2,0.26
21,bc,NNE,87,97.5,2,0.54
22,bc,NNE,-114.5,-8,2,0.48
23,bc,NNE,-90.5,8,2,0.3
24,bc,NNE,-56,33,2,0.71
25,bc,NNE,-51,22,2,0.61
26,bc,NNE,-46.5,11,2,0.32
27,bc,NNE,-39,16,2,0.28
28,bc,NNE,-39.5,-4,2,0.24
29,bc,NNE,-32,0,2,0.2
30,bc,NNE,-39,-11,2,0.22
31,bc,NNE,6.5,52,2,0.44
32,bc,NNE,65.5,74.5,2,0.38
33,bc,NNE,73.5,56.5,2,0.34
34,bc,NNE,-117.5,-32,2,0.32
35,bc,NNE,-86.5,-35.5,2,0.34
36,bc,NNE,-75,-31.5,2,0.55
37,bc,NNE,-55.5,-23,2,0.24
38,bc,NNE,-26,-10,2,0.24
39,bc,NNE,-9,-2.5,2,0.3
40,bc,NNE,6.5,4.5,2,0.48
41,bc,NNE,29.5,15,2,0.26
42,bc,NNE,53,26,2,0.36
43,bc,NNE,67.5,32.5,2,0.42
44,bc,NNE,83,39,2,0.4
45,bc,NNE,120.5,56.5,2,0.18
46,bc,NNE,-121,-56.5,2,0.26
47,bc,NNE,-96.5,-59.5,2,0.28
48,bc,NNE,-77,-59,2,0.24
49,bc,NNE,-59.5,-51.5,2,0.42
50,bc,NNE,-45.5,-45,2,0.24
51,bc,NNE,-24.5,-19.5,2,0.18
52,bc,NNE,-31,-23.5,2,0.24
53,bc,NNE,-24.5,-38,2,0.34
54,bc,NNE,-20,-30.5,2,0.22
55,bc,NNE,-11,-50,2,0.26
56,bc,NNE,38,5.5,2,0.4
57,bc,NNE,74,22,2,0.46
58,bc,NNE,63,0.5,2,0.5
59,bc,NNE,50.5,-22.5,2,0.44
60,bc,NNE,88.5,-6,2,0.3
61,bc,NNE,31,0,2,0.24
62,bc,NNE,39.5,-20,2,0.36
63,bc,NNE,92.5,20,2,0.3
64,bc,NNE,100.5,3.5,2,0.18
65,bc,NNE,-83,-94,2,0.36
66,bc,NNE,-49.5,-78.5,2,0.32
67,bc,NNE,-10,-59.5,2,0.3
68,bc,NNE,1,-54,2,0.24
69,bc,NNE,26,-43,2,0.3
70,bc,NNE,46.5,-33.5,2,0.59
71,bc,NNE,66.5,-24.5,2,0.46
72,bc,NNE,82,-17.5,2,0.42
73,bc,NNE,98.5,-9.5,2,0.28
74,bc,NNE,56.5,-54.5,2,0.24
75,bc,NNE,109,-17.5,2,0.36
76,bc,NNE,116,-30.5,2,0.4
77,bc,NNE,5,-94,2,0.4
78,bc,NNE,45.5,-86.5,2,0.42
79,bc,NNE,81.5,-69.5,2,0.44
80,bc,NNE,125,-49.5,2,0.4
1,bc,NE,-27,112,2,0.24
2,bc,NE,-93,33,2,0.46
3,bc,NE,-88,35,2,0.24
4,bc,NE,-74,40,2,0.28
5,bc,NE,-61,45.5,2,0.54
6,bc,NE,-50.5,49.5,2,0.4
7,bc,NE,-33.5,57.5,2,0.32
8,bc,NE,-9.5,69,2,0.22
9,bc,NE,7,76.5,2,0.28
10,bc,NE,45,94,2,0.26
11,bc,NE,80.5,110,2,0.54
12,bc,NE,-133,21,2,0.46
13,bc,NE,-97,19,2,0.38
14,bc,NE,-84,22.5,2,0.42
15,bc,NE,-65.5,29.5,2,0.61
16,bc,NE,-47.5,36.5,2,0.57
17,bc,NE,-25,47,2,0.34
18,bc,NE,-5,56,2,0.28
19,bc,NE,13.5,64.5,2,0.55
20,bc,NE,50,81.5,2,0.34
21,bc,NE,87,97.5,2,0.5
22,bc,NE,-114.5,-8,2,0.44
23,bc,NE,-90.5,8,2,0.22
24,bc,NE,-56,33,2,0.65
25,bc,NE,-51,22,2,0.36
26,bc,NE,-46.5,11,2,0.24
27,bc,NE,-39,16,2,0.22
28,bc,NE,-39.5,-4,2,0.2
29,bc,NE,-32,0,2,0.26
30,bc,NE,-39,-11,2,0.18
31,bc,NE,6.5,52,2,0.36
32,bc,NE,65.5,74.5,2,0.24
33,bc,NE,73.5,56.5,2,0.24
34,bc,NE,-117.5,-32,2,0.4
35,bc,NE,-86.5,-35.5,2,0.36
36,bc,NE,-75,-31.5,2,0.48
37,bc,NE,-55.5,-23,2,0.24
38,bc,NE,-26,-10,2,0.4
39,bc,NE,-9,-2.5,2,0.5
40,bc,NE,6.5,4.5,2,0.57
41,bc,NE,29.5,15,2,0.46
42,bc,NE,53,26,2,0.48
43,bc,NE,67.5,32.5,2,0.44
44,bc,NE,83,39,2,0.4
45,bc,NE,120.5,56.5,2,0.2
46,bc,NE,-121,-56.5,2,0.24
47,bc,NE,-96.5,-59.5,2,0.44
48,bc,NE,-77,-59,2,0.26
49,bc,NE,-59.5,-51.5,2,0.36
50,bc,NE,-45.5,-45,2,0.12
51,bc,NE,-24.5,-19.5,2,0.14
52,bc,NE,-31,-23.5,2,0.24
53,bc,NE,-24.5,-38,2,0.26
54,bc,NE,-20,-30.5,2,0.18
55,bc,NE,-11,-50,2,0.18
56,bc,NE,38,5.5,2,0.46
57,bc,NE,74,22,2,0.5
58,bc,NE,63,0.5,2,0.55
59,bc,NE,50.5,-22.5,2,0.46
60,bc,NE,88.5,-6,2,0.22
61,bc,NE,31,0,2,0.32
62,bc,NE,39.5,-20,2,0.38
63,bc,NE,92.5,20,2,0.3
64,bc,NE,100.5,3.5,2,0.18
65,bc,NE,-83,-94,2,0.4
66,bc,NE,-49.5,-78.5,2,0.28
67,bc,NE,-10,-59.5,2,0.34
68,bc,NE,1,-54,2,0.38
69,bc,NE,26,-43,2,0.34
70,bc,NE,46.5,-33.5,2,0.63
71,bc,NE,66.5,-24.5,2,0.38
72,bc,NE,82,-17.5,2,0.3
73,bc,NE,98.5,-9.5,2,0.2
74,bc,NE,56.5,-54.5,2,0.2
75,bc,NE,109,-17.5,2,0.2
76,bc,NE,116,-30.5,2,0.22
77,bc,NE,5,-94,2,0.42
78,bc,NE,45.5,-86.5,2,0.36
79,bc,NE,81.5,-69.5,2,0.38
80,bc,NE,125,-49.5,2,0.44
1,bc,ENE,-27,112,2,0.28
2,bc,ENE,-93,33,2,0.44
3,bc,ENE,-88,35,2,0.24
4,bc,ENE,-74,40,2,0.22
5,bc,ENE,-61,45.5,2,0.32
6,bc,ENE,-50.5,49.5,2,0.36
7,bc,ENE,-33.5,57.5,2,0.34
8,bc,ENE,-9.5,69,2,0.34
9,bc,ENE,7,76.5,2,0.32
10,bc,ENE,45,94,2,0.34
11,bc,ENE,80.5,110,2,0.48
